y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.0129488,-1.82282e-05,0
0.020202,-0.0250973,-9.97324e-05,0
0.030303,-0.0368459,-0.000252057,0
0.040404,-0.0485569,-0.000463902,0
0.0505051,-0.0605715,-0.00070577,0
0.0606061,-0.0731903,-0.000932844,0
0.0707071,-0.0866742,-0.00108909,0
0.0808081,-0.101221,-0.00111144,0
0.0909091,-0.11696,-0.000935616,0
0.10101,-0.133927,-0.000500629,0
0.111111,-0.152068,0.000245705,0
0.121212,-0.171217,0.0013434,0
0.131313,-0.191112,0.00281673,0
0.141414,-0.211394,0.00467284,0
0.151515,-0.231622,0.00690017,0
0.161616,-0.251294,0.00946852,0
0.171717,-0.269874,0.0123291,0
0.181818,-0.286825,0.0154161,0
0.191919,-0.301641,0.0186487,0
0.20202,-0.313887,0.0219356,0
0.212121,-0.323233,0.0251802,0
0.222222,-0.329484,0.0282876,0
0.232323,-0.332592,0.0311722,0
0.242424,-0.332659,0.0337647,0
0.252525,-0.329929,0.0360173,0
0.262626,-0.324754,0.0379075,0
0.272727,-0.317563,0.0394385,0
0.282828,-0.308823,0.0406372,0
0.292929,-0.298992,0.0415498,0
0.30303,-0.288495,0.042236,0
0.313131,-0.277694,0.0427626,0
0.323232,-0.266873,0.0431974,0
0.333333,-0.256236,0.0436037,0
0.343434,-0.245908,0.0440363,0
0.353535,-0.235945,0.0445392,0
0.363636,-0.226344,0.045144,0
0.373737,-0.217061,0.0458703,0
0.383838,-0.208024,0.0467267,0
0.393939,-0.199144,0.0477123,0
0.40404,-0.190329,0.0488185,0
0.414141,-0.181491,0.0500318,0
0.424242,-0.172549,0.051335,0
0.434343,-0.163438,0.052709,0
0.444444,-0.154107,0.0541348,0
0.454545,-0.144516,0.0555938,0
0.464646,-0.134645,0.057069,0
0.474747,-0.12448,0.058545,0
0.484848,-0.114022,0.0600085,0
0.494949,-0.103278,0.0614481,0
0.505051,-0.0922612,0.0628542,0
0.515152,-0.0809915,0.0642186,0
0.525253,-0.0694915,0.0655347,0
0.535354,-0.0577862,0.0667967,0
0.545455,-0.0459025,0.0679998,0
0.555556,-0.0338681,0.0691399,0
0.565657,-0.0217111,0.0702134,0
0.575758,-0.0094593,0.0712174,0
0.585859,0.00286047,0.0721492,0
0.59596,0.0152226,0.073007,0
0.606061,0.0276033,0.0737892,0
0.616162,0.0399813,0.0744948,0
0.626263,0.0523381,0.0751236,0
0.636364,0.0646585,0.0756759,0
0.646465,0.0769309,0.0761525,0
0.656566,0.089147,0.0765547,0
0.666667,0.101302,0.0768843,0
0.676768,0.113394,0.077143,0
0.686869,0.125422,0.0773324,0
0.69697,0.137387,0.0774533,0
0.707071,0.149286,0.0775058,0
0.717172,0.161113,0.0774882,0
0.727273,0.172859,0.0773973,0
0.737374,0.184501,0.0772271,0
0.747475,0.196011,0.0769695,0
0.757576,0.207344,0.076613,0
0.767677,0.218445,0.0761442,0
0.777778,0.229242,0.0755464,0
0.787879,0.239655,0.0748017,0
0.79798,0.249588,0.0738897,0
0.808081,0.258943,0.0727909,0
0.818182,0.267615,0.0714843,0
0.828283,0.275504,0.0699527,0
0.838384,0.282518,0.0681784,0
0.848485,0.288581,0.0661503,0
0.858586,0.293636,0.0638563,0
0.868687,0.297669,0.0612926,0
0.878788,0.300721,0.0584489,0
0.888889,0.302961,0.055318,0
0.89899,0.304788,0.0518682,0
0.909091,0.30707,0.0480525,0
0.919192,0.311498,0.0437703,0
0.929293,0.321085,0.0389017,0
0.939394,0.340643,0.0333001,0
0.949495,0.376974,0.0269199,0
0.959596,0.438263,0.0198809,0
0.969697,0.532219,0.0126765,0
0.979798,0.662577,0.006163,0
0.989899,0.824412,0.001578,0
1,1,3.06262e-16,0
