y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00637099,-5.18744e-05,0
0.020202,-0.0121718,-0.000199084,0
0.030303,-0.0174663,-0.000436487,0
0.040404,-0.022317,-0.000756303,0
0.0505051,-0.0267924,-0.00115092,0
0.0606061,-0.030966,-0.00160932,0
0.0707071,-0.0349211,-0.00211871,0
0.0808081,-0.0387513,-0.00266171,0
0.0909091,-0.0425635,-0.00321697,0
0.10101,-0.0464781,-0.00375687,0
0.111111,-0.0506305,-0.00424764,0
0.121212,-0.0551692,-0.00464756,0
0.131313,-0.0602547,-0.0049071,0
0.141414,-0.0660542,-0.00496816,0
0.151515,-0.0727364,-0.00476494,0
0.161616,-0.0804617,-0.00422478,0
0.171717,-0.0893722,-0.00327054,0
0.181818,-0.099579,-0.00182342,0
0.191919,-0.111148,0.00019277,0
0.20202,-0.124089,0.00284694,0
0.212121,-0.138339,0.00619507,0
0.222222,-0.153756,0.0102746,0
0.232323,-0.170113,0.0150985,0
0.242424,-0.187098,0.020651,0
0.252525,-0.20432,0.026883,0
0.262626,-0.221327,0.0337105,0
0.272727,-0.237621,0.0410152,0
0.282828,-0.252696,0.0486476,0
0.292929,-0.266063,0.0564335,0
0.30303,-0.277288,0.0641838,0
0.313131,-0.286028,0.0717068,0
0.323232,-0.292057,0.0788224,0
0.333333,-0.295279,0.0853754,0
0.343434,-0.295736,0.0912478,0
0.353535,-0.293593,0.0963674,0
0.363636,-0.289122,0.100711,0
0.373737,-0.282666,0.104304,0
0.383838,-0.274603,0.107213,0
0.393939,-0.265316,0.109538,0
0.40404,-0.255157,0.1114,0
0.414141,-0.24443,0.112926,0
0.424242,-0.233375,0.114244,0
0.434343,-0.222162,0.115467,0
0.444444,-0.210895,0.116689,0
0.454545,-0.19962,0.117983,0
0.464646,-0.188337,0.119395,0
0.474747,-0.177012,0.120951,0
0.484848,-0.16559,0.122653,0
0.494949,-0.154011,0.124488,0
0.505051,-0.142213,0.126429,0
0.515152,-0.130144,0.128443,0
0.525253,-0.117765,0.130491,0
0.535354,-0.105052,0.132532,0
0.545455,-0.0919972,0.134528,0
0.555556,-0.078607,0.136442,0
0.565657,-0.0649013,0.138244,0
0.575758,-0.0509103,0.13991,0
0.585859,-0.0366716,0.141418,0
0.59596,-0.0222281,0.142756,0
0.606061,-0.00762561,0.143912,0
0.616162,0.00708925,0.144881,0
0.626263,0.0218698,0.145661,0
0.636364,0.0366699,0.146251,0
0.646465,0.0514433,0.146648,0
0.656566,0.0661426,0.146853,0
0.666667,0.0807172,0.14686,0
0.676768,0.0951108,0.14666,0
0.686869,0.109259,0.146242,0
0.69697,0.123086,0.145587,0
0.707071,0.136504,0.144671,0
0.717172,0.149412,0.143467,0
0.727273,0.161697,0.141945,0
0.737374,0.173237,0.140073,0
0.747475,0.183904,0.137821,0
0.757576,0.193572,0.135163,0
0.767677,0.202126,0.132079,0
0.777778,0.209468,0.128559,0
0.787879,0.215526,0.124604,0
0.79798,0.220262,0.120227,0
0.808081,0.223676,0.115452,0
0.818182,0.225809,0.110316,0
0.828283,0.226743,0.104863,0
0.838384,0.2266,0.0991443,0
0.848485,0.225536,0.0932162,0
0.858586,0.223738,0.0871309,0
0.868687,0.221441,0.0809403,0
0.878788,0.218949,0.0746801,0
0.888889,0.216722,0.0683772,0
0.89899,0.21552,0.0620252,0
0.909091,0.216654,0.0555992,0
0.919192,0.222325,0.0490283,0
0.929293,0.236016,0.0422376,0
0.939394,0.262772,0.0351405,0
0.949495,0.309163,0.0277427,0
0.959596,0.382586,0.0201666,0
0.969697,0.48963,0.0128114,0
0.979798,0.633235,0.00633397,0
0.989899,0.808789,0.00173166,0
1,1,3.36932e-16,0
