x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000602489,0.0128735,0
0.05,-0.00203012,0.0211048,0
0.075,-0.00393378,0.0256716,0
0.1,-0.00606799,0.0277662,0
0.125,-0.00826815,0.0283978,0
0.15,-0.0104713,0.028297,0
0.175,-0.0126328,0.0278151,0
0.2,-0.0147484,0.0271671,0
0.225,-0.0168118,0.0263813,0
0.25,-0.0188185,0.0255297,0
0.275,-0.0207837,0.0245758,0
0.3,-0.022689,0.0235688,0
0.325,-0.0245714,0.0224673,0
0.35,-0.0263952,0.0213057,0
0.375,-0.0282191,0.0200511,0
0.4,-0.0299888,0.0187129,0
0.425,-0.0317828,0.0172755,0
0.45,-0.0335282,0.0157107,0
0.475,-0.0353184,0.0140295,0
0.5,-0.0370624,0.0121513,0
0.525,-0.0388564,0.0101188,0
0.55,-0.0405993,0.00779381,0
0.575,-0.0423648,0.00524466,0
0.6,-0.0440479,0.0022846,0
0.625,-0.0456674,-0.00100642,0
0.65,-0.0471064,-0.00484518,0
0.675,-0.0482974,-0.00913962,0
0.7,-0.0490911,-0.0140978,0
0.725,-0.0493036,-0.0195877,0
0.75,-0.0487393,-0.0257238,0
0.775,-0.0471046,-0.0322446,0
0.8,-0.0442063,-0.0390037,0
0.825,-0.0397797,-0.0454232,0
0.85,-0.0338647,-0.0508559,0
0.875,-0.0266074,-0.0542181,0
0.9,-0.0187097,-0.0543298,0
0.925,-0.0110866,-0.0498898,0
0.95,-0.00496334,-0.039848,0
0.975,-0.00113151,-0.0233646,0
1,0,0,0
