y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0073095,8.5749e-05,0
0.05,-0.0119146,0.00024483,0
0.075,-0.0146604,0.000431891,0
0.1,-0.0162514,0.000634834,0
0.125,-0.0172295,0.000849597,0
0.15,-0.0179626,0.00108787,0
0.175,-0.0186483,0.00134984,0
0.2,-0.0193952,0.00165344,0
0.225,-0.0202355,0.00199505,0
0.25,-0.0211997,0.00239915,0
0.275,-0.0222774,0.00285691,0
0.3,-0.0234912,0.00340304,0
0.325,-0.0248151,0.00402117,0
0.35,-0.0262784,0.00476052,0
0.375,-0.0278372,0.0055927,0
0.4,-0.0295326,0.00658636,0
0.425,-0.0312928,0.00769398,0
0.45,-0.033177,0.00900892,0
0.475,-0.0350716,0.0104538,0
0.5,-0.0370624,0.0121513,0
0.525,-0.0389815,0.0139822,0
0.55,-0.0409433,0.0160902,0
0.575,-0.0427294,0.018313,0
0.6,-0.0444753,0.0207899,0
0.625,-0.0459297,0.0233163,0
0.65,-0.0472574,0.0260065,0
0.675,-0.0481987,0.0286132,0
0.7,-0.0489648,0.0312139,0
0.725,-0.0493283,0.0335374,0
0.75,-0.0495512,0.0356358,0
0.775,-0.0494403,0.0372621,0
0.8,-0.0491528,0.0384757,0
0.825,-0.0480801,0.0390859,0
0.85,-0.0448889,0.0391018,0
0.875,-0.0350694,0.0381616,0
0.9,-0.00790917,0.0356885,0
0.925,0.0601903,0.0303965,0
0.95,0.213113,0.021056,0
0.975,0.515334,0.00858593,0
1,1,0,0
