y,U_0,U_1,U_2
0,0,0,0
0.025,-0.00965704,0.00013748,0
0.05,-0.0158759,0.000415887,0
0.075,-0.0198506,0.00076136,0
0.1,-0.0224153,0.00114508,0
0.125,-0.0241516,0.00155806,0
0.15,-0.0254718,0.002016,0
0.175,-0.0266354,0.00252762,0
0.2,-0.0278144,0.00312302,0
0.225,-0.0290881,0.00381183,0
0.25,-0.0305158,0.0046338,0
0.275,-0.0320995,0.0055969,0
0.3,-0.0338635,0.00675499,0
0.325,-0.0357756,0.00811343,0
0.35,-0.0378513,0.00974571,0
0.375,-0.0400263,0.01165,0
0.4,-0.0423107,0.0139229,0
0.425,-0.0445923,0.0165436,0
0.45,-0.0468736,0.0196298,0
0.475,-0.0489714,0.023118,0
0.5,-0.0508841,0.0271333,0
0.525,-0.05234,0.0315333,0
0.55,-0.0533432,0.0364084,0
0.575,-0.0535567,0.0414984,0
0.6,-0.0530249,0.0467953,0
0.625,-0.0514294,0.0519007,0
0.65,-0.0489495,0.0566855,0
0.675,-0.0454165,0.0606654,0
0.7,-0.0412348,0.0636875,0
0.725,-0.0364545,0.0653626,0
0.75,-0.0316255,0.0656976,0
0.775,-0.0268736,0.0645416,0
0.8,-0.0225936,0.0621159,0
0.825,-0.018494,0.0584663,0
0.85,-0.0136533,0.053903,0
0.875,-0.00437984,0.0484367,0
0.9,0.0189498,0.0419609,0
0.925,0.0794951,0.0336101,0
0.95,0.223288,0.0223581,0
0.975,0.518804,0.00893821,0
1,1,0,0
