x,U_0,U_1,U_2
0,0,0,0
0.025,-0.00059914,0.0150618,0
0.05,-0.00203195,0.0247308,0
0.075,-0.00398773,0.0305435,0
0.1,-0.00624192,0.0337385,0
0.125,-0.0086282,0.0352465,0
0.15,-0.0110709,0.0357939,0
0.175,-0.0135161,0.0358022,0
0.2,-0.0159573,0.0355738,0
0.225,-0.0183932,0.0352002,0
0.25,-0.0208287,0.0347891,0
0.275,-0.023292,0.0343192,0
0.3,-0.0257803,0.0338439,0
0.325,-0.0283492,0.0333205,0
0.35,-0.0309847,0.0327769,0
0.375,-0.033771,0.0321716,0
0.4,-0.036684,0.0314973,0
0.425,-0.0398354,0.0307184,0
0.45,-0.0431926,0.0297716,0
0.475,-0.0468896,0.0286261,0
0.5,-0.0508841,0.0271333,0
0.525,-0.0553131,0.025254,0
0.55,-0.0601217,0.0227257,0
0.575,-0.0654004,0.0194646,0
0.6,-0.0710508,0.0150756,0
0.625,-0.0770259,0.00939226,0
0.65,-0.0830944,0.00190841,0
0.675,-0.088935,-0.0075708,0
0.7,-0.0940437,-0.0194728,0
0.725,-0.0976601,-0.0337102,0
0.75,-0.098844,-0.0500898,0
0.775,-0.0962914,-0.0674739,0
0.8,-0.0888463,-0.0839561,0
0.825,-0.0757331,-0.0962973,0
0.85,-0.0577137,-0.100925,0
0.875,-0.0370105,-0.0951061,0
0.9,-0.0176173,-0.0788514,0
0.925,-0.0037076,-0.055594,0
0.95,0.00226604,-0.0309475,0
0.975,0.00213851,-0.0102836,0
1,0,0,0
