x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000702201,0.0281694,0
0.05,-0.00245903,0.046194,0
0.075,-0.00496857,0.0573548,0
0.1,-0.00800262,0.0641674,0
0.125,-0.0113885,0.0683755,0
0.15,-0.0150504,0.0711993,0
0.175,-0.0189424,0.0733566,0
0.2,-0.0230881,0.0753535,0
0.225,-0.0275333,0.0774159,0
0.25,-0.0323596,0.0797567,0
0.275,-0.0376959,0.0824318,0
0.3,-0.043682,0.0855825,0
0.325,-0.0505612,0.0892896,0
0.35,-0.058585,0.0938148,0
0.375,-0.0681982,0.0995373,0
0.4,-0.0798495,0.107099,0
0.425,-0.0941695,0.117137,0
0.45,-0.111463,0.12961,0
0.475,-0.131642,0.142832,0
0.5,-0.153499,0.152759,0
0.525,-0.174898,0.153802,0
0.55,-0.193712,0.142218,0
0.575,-0.208653,0.117895,0
0.6,-0.219357,0.0837269,0
0.625,-0.226526,0.0439741,0
0.65,-0.230984,0.00179382,0
0.675,-0.233599,-0.0404886,0
0.7,-0.234977,-0.0818535,0
0.725,-0.235732,-0.121538,0
0.75,-0.236479,-0.159829,0
0.775,-0.237325,-0.196994,0
0.8,-0.237408,-0.233342,0
0.825,-0.233667,-0.266727,0
0.85,-0.221399,-0.291468,0
0.875,-0.194634,-0.296601,0
0.9,-0.150039,-0.268472,0
0.925,-0.0909832,-0.198737,0
0.95,-0.0349545,-0.104162,0
0.975,-0.00466548,-0.0280443,0
1,0,0,0
