x,U_0,U_1,U_2
0,0,0,0
0.010101,4.75139e-05,0.0469873,0
0.020202,-0.000103489,0.0864647,0
0.030303,-0.000666731,0.119197,0
0.040404,-0.0017561,0.146095,0
0.0505051,-0.00339499,0.168228,0
0.0606061,-0.00553753,0.186701,0
0.0707071,-0.00809722,0.202565,0
0.0808081,-0.0109701,0.216699,0
0.0909091,-0.0140539,0.229771,0
0.10101,-0.0172582,0.242208,0
0.111111,-0.0205093,0.25422,0
0.121212,-0.0237492,0.265831,0
0.131313,-0.0269336,0.276939,0
0.141414,-0.0300279,0.28735,0
0.151515,-0.0330046,0.296835,0
0.161616,-0.0358407,0.305152,0
0.171717,-0.0385173,0.312076,0
0.181818,-0.0410191,0.317419,0
0.191919,-0.0433354,0.321039,0
0.20202,-0.04546,0.322846,0
0.212121,-0.0473923,0.322814,0
0.222222,-0.0491372,0.320973,0
0.232323,-0.0507053,0.317409,0
0.242424,-0.0521123,0.312258,0
0.252525,-0.0533777,0.305691,0
0.262626,-0.0545246,0.297911,0
0.272727,-0.0555774,0.289131,0
0.282828,-0.0565612,0.279566,0
0.292929,-0.0574998,0.26942,0
0.30303,-0.0584154,0.258878,0
0.313131,-0.0593271,0.248095,0
0.323232,-0.0602505,0.237198,0
0.333333,-0.0611976,0.226279,0
0.343434,-0.0621767,0.215399,0
0.353535,-0.0631924,0.20459,0
0.363636,-0.0642465,0.193861,0
0.373737,-0.0653379,0.183204,0
0.383838,-0.0664639,0.172596,0
0.393939,-0.06762,0.162007,0
0.40404,-0.0688012,0.151403,0
0.414141,-0.0700017,0.140753,0
0.424242,-0.0712161,0.130028,0
0.434343,-0.0724388,0.119201,0
0.444444,-0.0736651,0.108255,0
0.454545,-0.0748907,0.0971793,0
0.464646,-0.0761119,0.0859668,0
0.474747,-0.0773256,0.0746179,0
0.484848,-0.0785296,0.0631375,0
0.494949,-0.0797219,0.0515345,0
0.505051,-0.080901,0.0398208,0
0.515152,-0.082066,0.028011,0
0.525253,-0.0832159,0.0161208,0
0.535354,-0.0843502,0.00416719,0
0.545455,-0.0854683,-0.00783255,0
0.555556,-0.0865696,-0.0198612,0
0.565657,-0.0876535,-0.0319016,0
0.575758,-0.088719,-0.0439374,0
0.585859,-0.0897651,-0.0559527,0
0.59596,-0.0907901,-0.0679319,0
0.606061,-0.091792,-0.0798604,0
0.616162,-0.092768,-0.0917235,0
0.626263,-0.0937149,-0.103507,0
0.636364,-0.0946288,-0.115196,0
0.646465,-0.095505,-0.126776,0
0.656566,-0.0963383,-0.138231,0
0.666667,-0.0971234,-0.149546,0
0.676768,-0.0978547,-0.160705,0
0.686869,-0.0985276,-0.171689,0
0.69697,-0.0991394,-0.182487,0
0.707071,-0.0996902,-0.193086,0
0.717172,-0.100185,-0.203484,0
0.727273,-0.100635,-0.213689,0
0.737374,-0.101063,-0.223731,0
0.747475,-0.101502,-0.233664,0
0.757576,-0.102002,-0.243584,0
0.767677,-0.102631,-0.253638,0
0.777778,-0.103474,-0.264031,0
0.787879,-0.104634,-0.275043,0
0.79798,-0.106222,-0.287019,0
0.808081,-0.108348,-0.300362,0
0.818182,-0.111093,-0.315493,0
0.828283,-0.114486,-0.332781,0
0.838384,-0.118461,-0.352452,0
0.848485,-0.122823,-0.374442,0
0.858586,-0.127202,-0.398242,0
0.868687,-0.131043,-0.422731,0
0.878788,-0.133597,-0.446042,0
0.888889,-0.133993,-0.465518,0
0.89899,-0.131319,-0.477828,0
0.909091,-0.124818,-0.479293,0
0.919192,-0.114054,-0.466501,0
0.929293,-0.0991885,-0.437125,0
0.939394,-0.0810508,-0.390825,0
0.949495,-0.061206,-0.329836,0
0.959596,-0.0416232,-0.258934,0
0.969697,-0.0243767,-0.184523,0
0.979798,-0.0110824,-0.113243,0
0.989899,-0.00283059,-0.0505686,0
1,-5.49376e-16,-9.98074e-15,0
