y,U_0,U_1,U_2
0,0,0,0
0.025,-0.015627,-0.000217688,0
0.05,-0.0280737,-0.000871532,0
0.075,-0.0385871,-0.00185593,0
0.1,-0.0485428,-0.00291811,0
0.125,-0.0595712,-0.00361562,0
0.15,-0.0735212,-0.0032873,0
0.175,-0.0921108,-0.00108377,0
0.2,-0.116414,0.00388754,0
0.225,-0.1461,0.0122828,0
0.25,-0.178996,0.0242214,0
0.275,-0.211059,0.0390449,0
0.3,-0.237318,0.055371,0
0.325,-0.253264,0.0713072,0
0.35,-0.256625,0.0850669,0
0.375,-0.248029,0.095489,0
0.4,-0.230583,0.102559,0
0.425,-0.207936,0.107113,0
0.45,-0.183031,0.110489,0
0.475,-0.15711,0.113697,0
0.5,-0.130417,0.117385,0
0.525,-0.102306,0.121455,0
0.55,-0.0725791,0.125695,0
0.575,-0.0410235,0.12956,0
0.6,-0.00819378,0.132797,0
0.625,0.0254643,0.135004,0
0.65,0.0588775,0.136062,0
0.675,0.0911301,0.135587,0
0.7,0.120605,0.133399,0
0.725,0.145898,0.129073,0
0.75,0.165368,0.122587,0
0.775,0.178385,0.113913,0
0.8,0.18496,0.103573,0
0.825,0.186372,0.0920178,0
0.85,0.184227,0.0799671,0
0.875,0.180853,0.0677448,0
0.9,0.181377,0.0554925,0
0.925,0.204786,0.0423651,0
0.95,0.302023,0.0270794,0
0.975,0.555428,0.0104172,0
1,1,0,0
