x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000794175,0.0434509,0
0.05,-0.00307794,0.071553,0
0.075,-0.0066105,0.0889597,0
0.1,-0.011107,0.0996869,0
0.125,-0.0163208,0.106786,0
0.15,-0.022145,0.112512,0
0.175,-0.0285477,0.118424,0
0.2,-0.0356218,0.125859,0
0.225,-0.0434837,0.13588,0
0.25,-0.0522488,0.149328,0
0.275,-0.0619286,0.166106,0
0.3,-0.0723272,0.184845,0
0.325,-0.083048,0.202559,0
0.35,-0.0934484,0.215472,0
0.375,-0.102916,0.220083,0
0.4,-0.110905,0.214535,0
0.425,-0.11733,0.199118,0
0.45,-0.122356,0.175949,0
0.475,-0.12658,0.147915,0
0.5,-0.130417,0.117385,0
0.525,-0.134215,0.085775,0
0.55,-0.137814,0.053388,0
0.575,-0.140998,0.0204143,0
0.6,-0.14326,-0.0130389,0
0.625,-0.144359,-0.0461317,0
0.65,-0.144084,-0.0781404,0
0.675,-0.142605,-0.107908,0
0.7,-0.140387,-0.135146,0
0.725,-0.138304,-0.159866,0
0.75,-0.137725,-0.183865,0
0.775,-0.139912,-0.209662,0
0.8,-0.145746,-0.24081,0
0.825,-0.153815,-0.278543,0
0.85,-0.160403,-0.319595,0
0.875,-0.158524,-0.352185,0
0.9,-0.140976,-0.356083,0
0.925,-0.103111,-0.306692,0
0.95,-0.0511148,-0.197268,0
0.975,-0.0101781,-0.0728547,0
1,0,0,0
