y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0270398,-4.71738e-05,0
0.05,-0.0513442,-0.000349451,0
0.075,-0.0766388,-0.00054759,0
0.1,-0.105636,2.8727e-05,0
0.125,-0.139415,0.00210527,0
0.15,-0.17689,0.00612935,0
0.175,-0.214743,0.0121096,0
0.2,-0.24824,0.0195764,0
0.225,-0.272438,0.0276942,0
0.25,-0.283862,0.0354338,0
0.275,-0.281699,0.0418446,0
0.3,-0.268225,0.0464124,0
0.325,-0.247581,0.0492071,0
0.35,-0.224097,0.0508669,0
0.375,-0.200676,0.0521689,0
0.4,-0.178579,0.053829,0
0.425,-0.157551,0.0561526,0
0.45,-0.136817,0.0592385,0
0.475,-0.115333,0.0628181,0
0.5,-0.0925817,0.0666891,0
0.525,-0.0681451,0.0704155,0
0.55,-0.0423639,0.0738998,0
0.575,-0.0154019,0.0768661,0
0.6,0.0121344,0.079369,0
0.625,0.0400573,0.0812551,0
0.65,0.0678712,0.0826874,0
0.675,0.0955725,0.0835546,0
0.7,0.122763,0.0840126,0
0.725,0.149325,0.0838561,0
0.75,0.174498,0.0830976,0
0.775,0.197582,0.0813665,0
0.8,0.217326,0.0785662,0
0.825,0.232834,0.0743348,0
0.85,0.243317,0.0687051,0
0.875,0.248997,0.0615504,0
0.9,0.252594,0.0529697,0
0.925,0.269454,0.0422116,0
0.95,0.349201,0.0278563,0
0.975,0.579855,0.0107737,0
1,1,0,0
