y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00309772,6.26621e-06,0
0.020202,-0.00561158,2.02931e-05,0
0.030303,-0.00758367,3.90641e-05,0
0.040404,-0.00907812,6.04293e-05,0
0.0505051,-0.010174,8.3214e-05,0
0.0606061,-0.0109549,0.000106676,0
0.0707071,-0.0115009,0.000130567,0
0.0808081,-0.0118816,0.000154785,0
0.0909091,-0.0121537,0.000179439,0
0.10101,-0.0123596,0.00020464,0
0.111111,-0.0125295,0.000230576,0
0.121212,-0.0126838,0.000257395,0
0.131313,-0.0128352,0.000285273,0
0.141414,-0.0129915,0.00031435,0
0.151515,-0.0131573,0.000344781,0
0.161616,-0.0133349,0.000376703,0
0.171717,-0.013526,0.000410267,0
0.181818,-0.0137311,0.000445614,0
0.191919,-0.0139507,0.000482901,0
0.20202,-0.0141852,0.000522282,0
0.212121,-0.0144348,0.000563927,0
0.222222,-0.0146997,0.000608007,0
0.232323,-0.0149803,0.000654705,0
0.242424,-0.0152765,0.000704214,0
0.252525,-0.0155888,0.000756734,0
0.262626,-0.0159173,0.00081248,0
0.272727,-0.0162622,0.000871673,0
0.282828,-0.0166239,0.000934548,0
0.292929,-0.0170025,0.00100135,0
0.30303,-0.0173983,0.00107234,0
0.313131,-0.0178115,0.00114779,0
0.323232,-0.0182424,0.00122799,0
0.333333,-0.0186913,0.00131323,0
0.343434,-0.0191583,0.00140382,0
0.353535,-0.0196436,0.0015001,0
0.363636,-0.0201476,0.00160239,0
0.373737,-0.0206705,0.00171107,0
0.383838,-0.0212124,0.00182649,0
0.393939,-0.0217735,0.00194903,0
0.40404,-0.0223541,0.0020791,0
0.414141,-0.0229542,0.0022171,0
0.424242,-0.023574,0.00236344,0
0.434343,-0.0242136,0.00251857,0
0.444444,-0.0248731,0.00268291,0
0.454545,-0.0255525,0.00285691,0
0.464646,-0.0262518,0.00304101,0
0.474747,-0.026971,0.00323568,0
0.484848,-0.0277099,0.00344137,0
0.494949,-0.0284685,0.00365851,0
0.505051,-0.0292465,0.00388755,0
0.515152,-0.0300438,0.00412891,0
0.525253,-0.0308599,0.00438299,0
0.535354,-0.0316944,0.00465019,0
0.545455,-0.0325471,0.00493083,0
0.555556,-0.0334173,0.00522525,0
0.565657,-0.0343044,0.00553371,0
0.575758,-0.0352078,0.00585641,0
0.585859,-0.0361266,0.0061935,0
0.59596,-0.0370601,0.00654506,0
0.606061,-0.0380073,0.00691108,0
0.616162,-0.0389672,0.00729145,0
0.626263,-0.0399388,0.00768598,0
0.636364,-0.0409209,0.00809433,0
0.646465,-0.0419123,0.00851608,0
0.656566,-0.0429117,0.00895063,0
0.666667,-0.0439179,0.00939729,0
0.676768,-0.0449295,0.00985516,0
0.686869,-0.0459451,0.0103233,0
0.69697,-0.0469633,0.0108003,0
0.707071,-0.0479828,0.0112851,0
0.717172,-0.0490022,0.0117761,0
0.727273,-0.0500203,0.0122716,0
0.737374,-0.0510357,0.0127699,0
0.747475,-0.0520472,0.013269,0
0.757576,-0.0530538,0.0137666,0
0.767677,-0.0540542,0.014261,0
0.777778,-0.0550475,0.0147495,0
0.787879,-0.0560321,0.01523,0
0.79798,-0.0570056,0.0156997,0
0.808081,-0.0579631,0.0161564,0
0.818182,-0.0588946,0.0165968,0
0.828283,-0.0597779,0.017018,0
0.838384,-0.0605669,0.0174147,0
0.848485,-0.0611683,0.0177815,0
0.858586,-0.0614024,0.0181071,0
0.868687,-0.0609364,0.0183769,0
0.878788,-0.0591881,0.018564,0
0.888889,-0.0551862,0.0186315,0
0.89899,-0.0474037,0.0185206,0
0.909091,-0.0335749,0.0181577,0
0.919192,-0.0105549,0.0174436,0
0.929293,0.0257295,0.0162776,0
0.939394,0.0801421,0.0145599,0
0.949495,0.157981,0.0122509,0
0.959596,0.264326,0.0093965,0
0.969697,0.403072,0.00622706,0
0.979798,0.575457,0.00316926,0
0.989899,0.777979,0.000877667,0
1,1,1.70845e-16,0
