x,U_0,U_1,U_2
0,0,0,0
0.010101,-0.000123113,0.00941186,0
0.020202,-0.000454767,0.0173046,0
0.030303,-0.000967338,0.0238776,0
0.040404,-0.00163126,0.0293124,0
0.0505051,-0.00242336,0.0337725,0
0.0606061,-0.00332029,0.037404,0
0.0707071,-0.00430397,0.0403361,0
0.0808081,-0.00535702,0.0426827,0
0.0909091,-0.00646633,0.0445431,0
0.10101,-0.00761982,0.0460035,0
0.111111,-0.00880874,0.0471383,0
0.121212,-0.0100254,0.0480109,0
0.131313,-0.0112645,0.0486751,0
0.141414,-0.0125219,0.049176,0
0.151515,-0.013795,0.049551,0
0.161616,-0.0150819,0.0498306,0
0.171717,-0.0163821,0.0500395,0
0.181818,-0.0176956,0.0501973,0
0.191919,-0.0190232,0.0503195,0
0.20202,-0.0203659,0.0504178,0
0.212121,-0.0217257,0.0505013,0
0.222222,-0.0231047,0.0505766,0
0.232323,-0.0245054,0.0506485,0
0.242424,-0.0259307,0.0507202,0
0.252525,-0.0273838,0.0507941,0
0.262626,-0.0288682,0.0508714,0
0.272727,-0.030388,0.0509527,0
0.282828,-0.0319473,0.0510378,0
0.292929,-0.0335506,0.0511263,0
0.30303,-0.0352031,0.0512171,0
0.313131,-0.0369099,0.0513086,0
0.323232,-0.038677,0.0513987,0
0.333333,-0.0405105,0.0514849,0
0.343434,-0.0424171,0.0515639,0
0.353535,-0.0444039,0.0516319,0
0.363636,-0.0464787,0.0516841,0
0.373737,-0.0486496,0.0517151,0
0.383838,-0.0509253,0.0517184,0
0.393939,-0.0533152,0.0516862,0
0.40404,-0.0558292,0.0516096,0
0.414141,-0.0584777,0.0514783,0
0.424242,-0.0612719,0.0512803,0
0.434343,-0.0642237,0.0510023,0
0.444444,-0.0673457,0.0506292,0
0.454545,-0.0706518,0.050145,0
0.464646,-0.0741571,0.0495332,0
0.474747,-0.0778795,0.0487777,0
0.484848,-0.0818398,0.0478654,0
0.494949,-0.0860643,0.0467877,0
0.505051,-0.0905866,0.0455444,0
0.515152,-0.0954502,0.0441464,0
0.525253,-0.100712,0.0426188,0
0.535354,-0.106442,0.041001,0
0.545455,-0.112728,0.0393439,0
0.555556,-0.119665,0.0377023,0
0.565657,-0.127357,0.0361216,0
0.575758,-0.135892,0.0346206,0
0.585859,-0.145336,0.0331726,0
0.59596,-0.155707,0.0316907,0
0.606061,-0.16696,0.0300222,0
0.616162,-0.178976,0.027955,0
0.626263,-0.191565,0.0252381,0
0.636364,-0.204473,0.0216112,0
0.646465,-0.217401,0.0168388,0
0.656566,-0.230032,0.0107405,0
0.666667,-0.242055,0.00321125,0
0.676768,-0.25318,-0.0057691,0
0.686869,-0.263155,-0.0161383,0
0.69697,-0.271764,-0.0277615,0
0.707071,-0.278834,-0.0404451,0
0.717172,-0.284221,-0.0539509,0
0.727273,-0.287807,-0.0680077,0
0.737374,-0.289492,-0.0823207,0
0.747475,-0.289184,-0.0965765,0
0.757576,-0.286798,-0.110446,0
0.767677,-0.282256,-0.123585,0
0.777778,-0.275487,-0.135636,0
0.787879,-0.266436,-0.146231,0
0.79798,-0.255081,-0.155,0
0.808081,-0.241449,-0.161578,0
0.818182,-0.225636,-0.16563,0
0.828283,-0.207829,-0.166874,0
0.838384,-0.188324,-0.165115,0
0.848485,-0.167533,-0.160278,0
0.858586,-0.145983,-0.152443,0
0.868687,-0.124292,-0.14186,0
0.878788,-0.103126,-0.128957,0
0.888889,-0.0831403,-0.114312,0
0.89899,-0.0649159,-0.0986043,0
0.909091,-0.048897,-0.0825473,0
0.919192,-0.0353513,-0.0668203,0
0.929293,-0.0243583,-0.0520039,0
0.939394,-0.0158268,-0.0385585,0
0.949495,-0.00953319,-0.0268119,0
0.959596,-0.00516877,-0.0169955,0
0.969697,-0.00238231,-0.00926728,0
0.979798,-0.00081774,-0.00376642,0
0.989899,-0.00012946,-0.000623997,0
1,-2.45302e-17,-1.18513e-16,0
