y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.0051977,1.26239e-05,0
0.020202,-0.00970855,4.64183e-05,0
0.030303,-0.0136076,9.78862e-05,0
0.040404,-0.016966,0.000163015,0
0.0505051,-0.0198517,0.000238598,0
0.0606061,-0.0223278,0.00032158,0
0.0707071,-0.0244531,0.000409814,0
0.0808081,-0.026281,0.000501564,0
0.0909091,-0.0278605,0.000595916,0
0.10101,-0.0292355,0.000692408,0
0.111111,-0.0304453,0.000791231,0
0.121212,-0.0315248,0.000892963,0
0.131313,-0.0325046,0.000998662,0
0.141414,-0.0334118,0.00110968,0
0.151515,-0.0342696,0.0012277,0
0.161616,-0.0350982,0.00135463,0
0.171717,-0.035915,0.00149264,0
0.181818,-0.0367346,0.00164405,0
0.191919,-0.0375696,0.00181141,0
0.20202,-0.0384307,0.00199746,0
0.212121,-0.0393266,0.00220514,0
0.222222,-0.040265,0.00243764,0
0.232323,-0.0412523,0.0026984,0
0.242424,-0.0422938,0.00299118,0
0.252525,-0.043394,0.00332006,0
0.262626,-0.044557,0.00368955,0
0.272727,-0.0457861,0.00410459,0
0.282828,-0.0470841,0.00457062,0
0.292929,-0.0484534,0.00509367,0
0.30303,-0.049896,0.0056804,0
0.313131,-0.0514134,0.00633815,0
0.323232,-0.0530066,0.00707502,0
0.333333,-0.0546762,0.00789996,0
0.343434,-0.056422,0.00882279,0
0.353535,-0.0582429,0.00985425,0
0.363636,-0.060137,0.0110061,0
0.373737,-0.0621015,0.0122911,0
0.383838,-0.0641318,0.0137232,0
0.393939,-0.0662221,0.0153171,0
0.40404,-0.0683646,0.017089,0
0.414141,-0.0705496,0.019056,0
0.424242,-0.0727648,0.0212358,0
0.434343,-0.074995,0.0236473,0
0.444444,-0.0772221,0.0263097,0
0.454545,-0.0794243,0.0292425,0
0.464646,-0.0815756,0.0324645,0
0.474747,-0.0836456,0.0359936,0
0.484848,-0.0855988,0.0398446,0
0.494949,-0.0873946,0.044029,0
0.505051,-0.0889865,0.0485521,0
0.515152,-0.0903232,0.0534114,0
0.525253,-0.0913486,0.0585948,0
0.535354,-0.0920032,0.0640782,0
0.545455,-0.0922266,0.0698238,0
0.555556,-0.0919593,0.0757798,0
0.565657,-0.0911467,0.0818801,0
0.575758,-0.0897418,0.0880456,0
0.585859,-0.087709,0.0941865,0
0.59596,-0.085027,0.100205,0
0.606061,-0.081691,0.106,0
0.616162,-0.0777141,0.111471,0
0.626263,-0.0731275,0.116521,0
0.636364,-0.0679796,0.121063,0
0.646465,-0.0623342,0.12502,0
0.656566,-0.0562677,0.128331,0
0.666667,-0.0498662,0.13095,0
0.676768,-0.0432217,0.132846,0
0.686869,-0.0364286,0.134007,0
0.69697,-0.0295803,0.134436,0
0.707071,-0.0227663,0.134148,0
0.717172,-0.0160692,0.133175,0
0.727273,-0.00956288,0.131556,0
0.737374,-0.00331132,0.129336,0
0.747475,0.00263273,0.126571,0
0.757576,0.00822759,0.123316,0
0.767677,0.0134427,0.119628,0
0.777778,0.018258,0.115564,0
0.787879,0.0226632,0.111177,0
0.79798,0.0266576,0.106517,0
0.808081,0.0302499,0.101631,0
0.818182,0.0334598,0.0965598,0
0.828283,0.0363222,0.0913421,0
0.838384,0.0388954,0.0860093,0
0.848485,0.0412777,0.0805927,0
0.858586,0.0436347,0.0751164,0
0.868687,0.0462459,0.0696053,0
0.878788,0.049575,0.0640742,0
0.888889,0.0543735,0.0585362,0
0.89899,0.0618182,0.0529834,0
0.909091,0.0736847,0.047399,0
0.919192,0.0925348,0.0417327,0
0.929293,0.121891,0.0359299,0
0.939394,0.166323,0.0299198,0
0.949495,0.231342,0.0236946,0
0.959596,0.322913,0.0173304,0
0.969697,0.446339,0.0111263,0
0.979798,0.604177,0.00560639,0
0.989899,0.793079,0.00160078,0
1,1,3.11957e-16,0
