x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000628301,0.0186863,0
0.05,-0.00213806,0.0305839,0
0.075,-0.00422257,0.0378562,0
0.1,-0.00666285,0.0421107,0
0.125,-0.00929521,0.044455,0
0.15,-0.0120435,0.0457025,0
0.175,-0.0148539,0.0463333,0
0.2,-0.017724,0.0467049,0
0.225,-0.0206626,0.0469533,0
0.25,-0.0236901,0.0472195,0
0.275,-0.026856,0.0475012,0
0.3,-0.0301847,0.0478622,0
0.325,-0.0337661,0.0482625,0
0.35,-0.0376283,0.0487278,0
0.375,-0.0419092,0.0492086,0
0.4,-0.0466495,0.0496799,0
0.425,-0.0520454,0.0500788,0
0.45,-0.0581651,0.0502919,0
0.475,-0.0652758,0.0502178,0
0.5,-0.0734957,0.0495992,0
0.525,-0.0831825,0.0482767,0
0.55,-0.0945724,0.0458495,0
0.575,-0.108176,0.0421518,0
0.6,-0.124434,0.0367405,0
0.625,-0.143832,0.0292967,0
0.65,-0.166174,0.0186293,0
0.675,-0.190007,0.0030697,0
0.7,-0.212233,-0.0195269,0
0.725,-0.228975,-0.0493731,0
0.75,-0.237313,-0.0841067,0
0.775,-0.235711,-0.118909,0
0.8,-0.223542,-0.148711,0
0.825,-0.200162,-0.168085,0
0.85,-0.165856,-0.171867,0
0.875,-0.122386,-0.155802,0
0.9,-0.0754099,-0.11984,0
0.925,-0.0344929,-0.0719347,0
0.95,-0.0095208,-0.0277653,0
0.975,-0.000543543,-0.00148985,0
1,0,0,0
