y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0121222,0.000139742,0
0.05,-0.0203058,0.00044542,0
0.075,-0.0257954,0.000840045,0
0.1,-0.0295471,0.00128744,0
0.125,-0.0322519,0.00177718,0
0.15,-0.0344093,0.00233127,0
0.175,-0.0363471,0.00297151,0
0.2,-0.0382984,0.00374732,0
0.225,-0.0403907,0.00469266,0
0.25,-0.0427222,0.00587747,0
0.275,-0.0453187,0.00734608,0
0.3,-0.0482168,0.00919692,0
0.325,-0.0513814,0.0114885,0
0.35,-0.0548103,0.0143585,0
0.375,-0.058399,0.0178769,0
0.4,-0.0620921,0.0222213,0
0.425,-0.0656734,0.0274495,0
0.45,-0.0690017,0.0337502,0
0.475,-0.0716908,0.0410973,0
0.5,-0.0734957,0.0495992,0
0.525,-0.0738419,0.0589993,0
0.55,-0.0724514,0.0691212,0
0.575,-0.0687498,0.0792669,0
0.6,-0.0627665,0.0888455,0
0.625,-0.0544099,0.096885,0
0.65,-0.0443638,0.10281,0
0.675,-0.0331305,0.106,0
0.7,-0.0217415,0.106443,0
0.725,-0.0107665,0.104139,0
0.75,-0.000989262,0.0995926,0
0.775,0.00739697,0.0931319,0
0.8,0.0140844,0.0853664,0
0.825,0.019345,0.0765823,0
0.85,0.0237726,0.0672425,0
0.875,0.0302219,0.0574775,0
0.9,0.0474332,0.0473966,0
0.925,0.0990088,0.0363938,0
0.95,0.233688,0.0235315,0
0.975,0.522882,0.00928397,0
1,1,0,0
