y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0228558,-0.000135554,0
0.05,-0.0430341,-0.000573069,0
0.075,-0.0637712,-0.000958418,0
0.1,-0.0877636,-0.000664213,0
0.125,-0.116697,0.0010581,0
0.15,-0.150626,0.00481029,0
0.175,-0.18748,0.0108269,0
0.2,-0.223324,0.0188312,0
0.225,-0.253144,0.0280666,0
0.25,-0.272379,0.0374384,0
0.275,-0.278382,0.0457588,0
0.3,-0.271567,0.0521473,0
0.325,-0.255025,0.0563076,0
0.35,-0.233177,0.0586876,0
0.375,-0.209779,0.0601224,0
0.4,-0.187075,0.0615603,0
0.425,-0.165486,0.0635723,0
0.45,-0.144492,0.0664499,0
0.475,-0.122987,0.0700081,0
0.5,-0.100252,0.0740321,0
0.525,-0.0756656,0.0780226,0
0.55,-0.0494625,0.0817968,0
0.575,-0.0217899,0.0850186,0
0.6,0.00669606,0.0877013,0
0.625,0.0357291,0.0896773,0
0.65,0.0647168,0.0911014,0
0.675,0.0935443,0.0918606,0
0.7,0.121664,0.0920904,0
0.725,0.148764,0.0915584,0
0.75,0.173856,0.0902353,0
0.775,0.196046,0.0877324,0
0.8,0.214016,0.0839612,0
0.825,0.227017,0.0786255,0
0.85,0.234629,0.0718523,0
0.875,0.237616,0.0636287,0
0.9,0.239451,0.0541296,0
0.925,0.256564,0.0426584,0
0.95,0.33924,0.0278919,0
0.975,0.574527,0.0107538,0
1,1,0,0
