x,U_0,U_1,U_2
0,0,0,0
0.010101,-0.000120639,0.0332206,0
0.020202,-0.000565492,0.0610662,0
0.030303,-0.00140002,0.0841525,0
0.040404,-0.00264929,0.103136,0
0.0505051,-0.00431248,0.118723,0
0.0606061,-0.00636123,0.13163,0
0.0707071,-0.00875605,0.142558,0
0.0808081,-0.011448,0.152153,0
0.0909091,-0.01439,0.160986,0
0.10101,-0.0175363,0.169525,0
0.111111,-0.0208477,0.178133,0
0.121212,-0.0242894,0.187055,0
0.131313,-0.0278321,0.196426,0
0.141414,-0.0314488,0.206279,0
0.151515,-0.0351147,0.21655,0
0.161616,-0.0388041,0.2271,0
0.171717,-0.0424906,0.237725,0
0.181818,-0.0461453,0.248177,0
0.191919,-0.0497377,0.25818,0
0.20202,-0.0532357,0.267448,0
0.212121,-0.056607,0.275703,0
0.222222,-0.0598205,0.282686,0
0.232323,-0.0628487,0.288175,0
0.242424,-0.0656687,0.291998,0
0.252525,-0.0682645,0.294041,0
0.262626,-0.0706281,0.294252,0
0.272727,-0.0727603,0.292644,0
0.282828,-0.0746709,0.289293,0
0.292929,-0.0763782,0.284331,0
0.30303,-0.0779077,0.277931,0
0.313131,-0.0792905,0.270299,0
0.323232,-0.0805614,0.261657,0
0.333333,-0.0817565,0.252224,0
0.343434,-0.0829108,0.24221,0
0.353535,-0.0840565,0.231798,0
0.363636,-0.0852215,0.22114,0
0.373737,-0.0864274,0.21035,0
0.383838,-0.0876901,0.199507,0
0.393939,-0.0890184,0.188654,0
0.40404,-0.0904154,0.177804,0
0.414141,-0.0918784,0.166947,0
0.424242,-0.0934003,0.156055,0
0.434343,-0.0949706,0.145093,0
0.444444,-0.0965761,0.134018,0
0.454545,-0.0982025,0.122794,0
0.464646,-0.0998353,0.111386,0
0.474747,-0.10146,0.0997703,0
0.484848,-0.103064,0.0879322,0
0.494949,-0.104633,0.0758665,0
0.505051,-0.106159,0.0635777,0
0.515152,-0.107631,0.0510787,0
0.525253,-0.109043,0.0383896,0
0.535354,-0.110387,0.025536,0
0.545455,-0.111659,0.0125481,0
0.555556,-0.112855,-0.000541509,0
0.565657,-0.113971,-0.013698,0
0.575758,-0.115004,-0.0268857,0
0.585859,-0.115951,-0.0400688,0
0.59596,-0.116809,-0.0532114,0
0.606061,-0.117575,-0.066278,0
0.616162,-0.118245,-0.0792334,0
0.626263,-0.118814,-0.0920429,0
0.636364,-0.119277,-0.104672,0
0.646465,-0.119631,-0.117085,0
0.656566,-0.11987,-0.129249,0
0.666667,-0.11999,-0.14113,0
0.676768,-0.119987,-0.152696,0
0.686869,-0.119863,-0.163919,0
0.69697,-0.119622,-0.174775,0
0.707071,-0.119275,-0.185251,0
0.717172,-0.118843,-0.195349,0
0.727273,-0.118358,-0.205093,0
0.737374,-0.117867,-0.214537,0
0.747475,-0.117437,-0.223778,0
0.757576,-0.117153,-0.232964,0
0.767677,-0.11712,-0.242307,0
0.777778,-0.117462,-0.252087,0
0.787879,-0.118312,-0.262656,0
0.79798,-0.119798,-0.274418,0
0.808081,-0.122024,-0.287802,0
0.818182,-0.125036,-0.303203,0
0.828283,-0.128795,-0.320897,0
0.838384,-0.133125,-0.340927,0
0.848485,-0.137695,-0.362973,0
0.858586,-0.141977,-0.386209,0
0.868687,-0.14527,-0.409182,0
0.878788,-0.146714,-0.429763,0
0.888889,-0.145396,-0.445189,0
0.89899,-0.140463,-0.452282,0
0.909091,-0.131329,-0.447856,0
0.919192,-0.117844,-0.429346,0
0.929293,-0.100512,-0.39554,0
0.939394,-0.0804931,-0.347246,0
0.949495,-0.0595645,-0.287537,0
0.959596,-0.0397128,-0.221397,0
0.969697,-0.0228193,-0.154694,0
0.979798,-0.010183,-0.092995,0
0.989899,-0.00254529,-0.0405676,0
1,-4.93586e-16,-8.00264e-15,0
