y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00664613,-5.73671e-05,0
0.020202,-0.01273,-0.000220219,0
0.030303,-0.0183599,-0.000480398,0
0.040404,-0.023642,-0.000824712,0
0.0505051,-0.0286906,-0.00123794,0
0.0606061,-0.0336269,-0.00169912,0
0.0707071,-0.0385857,-0.00218344,0
0.0808081,-0.0437139,-0.00265936,0
0.0909091,-0.0491722,-0.00308976,0
0.10101,-0.0551318,-0.00343004,0
0.111111,-0.0617713,-0.0036292,0
0.121212,-0.0692689,-0.00362914,0
0.131313,-0.0777954,-0.00336652,0
0.141414,-0.0875014,-0.00277377,0
0.151515,-0.0985057,-0.00178214,0
0.161616,-0.110881,-0.000324617,0
0.171717,-0.124642,0.0016597,0
0.181818,-0.139729,0.00422135,0
0.191919,-0.156004,0.00739547,0
0.20202,-0.173238,0.0111972,0
0.212121,-0.191119,0.0156175,0
0.222222,-0.209251,0.0206196,0
0.232323,-0.227172,0.026137,0
0.242424,-0.244377,0.0320738,0
0.252525,-0.26034,0.0383062,0
0.262626,-0.274555,0.0446882,0
0.272727,-0.286569,0.051059,0
0.282828,-0.296017,0.0572531,0
0.292929,-0.302655,0.0631129,0
0.30303,-0.306376,0.0685002,0
0.313131,-0.307215,0.073308,0
0.323232,-0.305347,0.0774681,0
0.333333,-0.301056,0.0809561,0
0.343434,-0.294711,0.0837905,0
0.353535,-0.286723,0.0860287,0
0.363636,-0.277509,0.0877586,0
0.373737,-0.267458,0.0890885,0
0.383838,-0.25691,0.0901361,0
0.393939,-0.246132,0.091018,0
0.40404,-0.235317,0.0918409,0
0.414141,-0.224583,0.0926949,0
0.424242,-0.213982,0.0936494,0
0.434343,-0.20351,0.0947521,0
0.444444,-0.193126,0.0960283,0
0.454545,-0.182759,0.0974843,0
0.464646,-0.172329,0.0991097,0
0.474747,-0.161754,0.100882,0
0.484848,-0.150957,0.10277,0
0.494949,-0.139878,0.104737,0
0.505051,-0.128469,0.106745,0
0.515152,-0.116702,0.108755,0
0.525253,-0.104566,0.110733,0
0.535354,-0.0920648,0.112645,0
0.545455,-0.0792171,0.114465,0
0.555556,-0.0660513,0.116169,0
0.565657,-0.0526041,0.117738,0
0.575758,-0.0389177,0.11916,0
0.585859,-0.0250376,0.120426,0
0.59596,-0.0110097,0.121529,0
0.606061,0.00312061,0.122468,0
0.616162,0.0173105,0.123244,0
0.626263,0.0315204,0.123861,0
0.636364,0.0457141,0.124324,0
0.646465,0.0598586,0.124637,0
0.656566,0.0739232,0.124805,0
0.666667,0.0878775,0.124833,0
0.676768,0.101689,0.12472,0
0.686869,0.115321,0.124465,0
0.69697,0.128729,0.12406,0
0.707071,0.141857,0.123494,0
0.717172,0.154637,0.122748,0
0.727273,0.166989,0.121804,0
0.737374,0.178816,0.120633,0
0.747475,0.190011,0.11921,0
0.757576,0.200458,0.117505,0
0.767677,0.210038,0.115493,0
0.777778,0.218636,0.113147,0
0.787879,0.226148,0.110452,0
0.79798,0.232492,0.107395,0
0.808081,0.237609,0.103975,0
0.818182,0.241475,0.100199,0
0.828283,0.244102,0.0960843,0
0.838384,0.245543,0.0916541,0
0.848485,0.245891,0.086942,0
0.858586,0.245279,0.0819816,0
0.868687,0.243896,0.0768123,0
0.878788,0.242007,0.0714629,0
0.888889,0.240034,0.0659583,0
0.89899,0.238688,0.0602939,0
0.909091,0.239216,0.0544472,0
0.919192,0.24375,0.0483479,0
0.929293,0.255724,0.0419189,0
0.939394,0.280195,0.0350695,0
0.949495,0.323848,0.0278062,0
0.959596,0.394298,0.0202634,0
0.969697,0.498391,0.012872,0
0.979798,0.639206,0.00633717,0
0.989899,0.811985,0.00170857,0
1,1,3.32268e-16,0
