y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00738035,-5.67431e-05,0
0.020202,-0.0141908,-0.000218348,0
0.030303,-0.0206094,-0.000474224,0
0.040404,-0.0268073,-0.000806335,0
0.0505051,-0.0329612,-0.00119202,0
0.0606061,-0.0392508,-0.00160087,0
0.0707071,-0.0458642,-0.00199689,0
0.0808081,-0.0529934,-0.00233643,0
0.0909091,-0.0608325,-0.00257013,0
0.10101,-0.0695689,-0.00264212,0
0.111111,-0.0793759,-0.00249254,0
0.121212,-0.0903994,-0.00205834,0
0.131313,-0.102746,-0.00127675,0
0.141414,-0.116468,-8.77754e-05,0
0.151515,-0.131553,0.0015615,0
0.161616,-0.147909,0.00371338,0
0.171717,-0.165356,0.00639511,0
0.181818,-0.183629,0.00961537,0
0.191919,-0.202374,0.0133607,0
0.20202,-0.221161,0.0175934,0
0.212121,-0.239501,0.02225,0
0.222222,-0.25687,0.0272418,0
0.232323,-0.272738,0.0324573,0
0.242424,-0.286608,0.037767,0
0.252525,-0.298051,0.043031,0
0.262626,-0.306742,0.0481075,0
0.272727,-0.312487,0.0528643,0
0.282828,-0.315236,0.0571885,0
0.292929,-0.315087,0.0609964,0
0.30303,-0.31227,0.0642396,0
0.313131,-0.307123,0.0669076,0
0.323232,-0.300053,0.0690274,0
0.333333,-0.2915,0.0706578,0
0.343434,-0.281895,0.0718822,0
0.353535,-0.271631,0.0727996,0
0.363636,-0.261041,0.0735142,0
0.373737,-0.250379,0.0741274,0
0.383838,-0.239821,0.0747299,0
0.393939,-0.229465,0.0753969,0
0.40404,-0.219345,0.0761851,0
0.414141,-0.20944,0.0771314,0
0.424242,-0.199693,0.0782544,0
0.434343,-0.19002,0.0795563,0
0.444444,-0.180331,0.0810258,0
0.454545,-0.170532,0.0826414,0
0.464646,-0.160541,0.0843747,0
0.474747,-0.150288,0.0861937,0
0.484848,-0.13972,0.0880648,0
0.494949,-0.128802,0.0899553,0
0.505051,-0.117514,0.0918343,0
0.515152,-0.105856,0.0936744,0
0.525253,-0.0938371,0.0954512,0
0.535354,-0.0814799,0.0971443,0
0.545455,-0.0688148,0.098737,0
0.555556,-0.0558787,0.100216,0
0.565657,-0.0427126,0.10157,0
0.575758,-0.0293598,0.102794,0
0.585859,-0.0158637,0.103882,0
0.59596,-0.00226718,0.104832,0
0.606061,0.0113895,0.105645,0
0.616162,0.0250694,0.106322,0
0.626263,0.0387394,0.106867,0
0.636364,0.0523711,0.107286,0
0.646465,0.06594,0.107584,0
0.656566,0.0794256,0.107766,0
0.666667,0.0928094,0.107837,0
0.676768,0.106074,0.107801,0
0.686869,0.119199,0.10766,0
0.69697,0.132161,0.107413,0
0.707071,0.144929,0.107054,0
0.717172,0.15746,0.106576,0
0.727273,0.1697,0.105963,0
0.737374,0.181581,0.105199,0
0.747475,0.19302,0.104263,0
0.757576,0.203921,0.103131,0
0.767677,0.214179,0.101777,0
0.777778,0.223682,0.100176,0
0.787879,0.232319,0.098304,0
0.79798,0.239984,0.0961402,0
0.808081,0.24659,0.09367,0
0.818182,0.252065,0.0908831,0
0.828283,0.25637,0.0877787,0
0.838384,0.259497,0.0843604,0
0.848485,0.261475,0.0806421,0
0.858586,0.262377,0.0766395,0
0.868687,0.262328,0.0723763,0
0.878788,0.261537,0.0678691,0
0.888889,0.260362,0.0631342,0
0.89899,0.259439,0.0581609,0
0.909091,0.259931,0.0529219,0
0.919192,0.263873,0.047341,0
0.929293,0.274622,0.0413324,0
0.939394,0.297216,0.0347949,0
0.949495,0.338431,0.0277279,0
0.959596,0.406087,0.0202716,0
0.969697,0.507292,0.0128841,0
0.979798,0.645293,0.00631852,0
0.989899,0.815232,0.00167952,0
1,1,3.26443e-16,0
