x,U_0,U_1,U_2
0,0,0,0
0.010101,0.000138683,0.0525696,0
0.020202,0.000159163,0.0967122,0
0.030303,-0.000224766,0.133221,0
0.040404,-0.00117108,0.163084,0
0.0505051,-0.00271496,0.1875,0
0.0606061,-0.00480287,0.207721,0
0.0707071,-0.00732775,0.224928,0
0.0808081,-0.0101639,0.240085,0
0.0909091,-0.0131903,0.253893,0
0.10101,-0.016304,0.266764,0
0.111111,-0.0194249,0.278873,0
0.121212,-0.0224942,0.290202,0
0.131313,-0.0254694,0.300617,0
0.141414,-0.0283203,0.309918,0
0.151515,-0.0310248,0.317889,0
0.161616,-0.0335666,0.324327,0
0.171717,-0.0359341,0.32907,0
0.181818,-0.0381202,0.332001,0
0.191919,-0.0401226,0.333064,0
0.20202,-0.0419436,0.332259,0
0.212121,-0.0435908,0.329646,0
0.222222,-0.0450759,0.325334,0
0.232323,-0.046415,0.319481,0
0.242424,-0.0476272,0.312273,0
0.252525,-0.0487338,0.30392,0
0.262626,-0.049757,0.29464,0
0.272727,-0.0507186,0.284645,0
0.282828,-0.0516394,0.274136,0
0.292929,-0.0525377,0.263288,0
0.30303,-0.0534295,0.252249,0
0.313131,-0.0543275,0.241137,0
0.323232,-0.0552412,0.230036,0
0.333333,-0.0561771,0.219,0
0.343434,-0.0571389,0.208059,0
0.353535,-0.058128,0.197221,0
0.363636,-0.0591438,0.186475,0
0.373737,-0.0601844,0.175802,0
0.383838,-0.0612469,0.165175,0
0.393939,-0.0623277,0.154563,0
0.40404,-0.0634233,0.143936,0
0.414141,-0.0645302,0.133269,0
0.424242,-0.0656449,0.122538,0
0.434343,-0.0667647,0.111726,0
0.444444,-0.0678872,0.100822,0
0.454545,-0.0690103,0.089818,0
0.464646,-0.0701326,0.0787122,0
0.474747,-0.0712531,0.0675065,0
0.484848,-0.0723709,0.0562061,0
0.494949,-0.0734858,0.0448189,0
0.505051,-0.0745974,0.0333544,0
0.515152,-0.0757057,0.0218238,0
0.525253,-0.0768106,0.0102388,0
0.535354,-0.0779122,-0.00138846,0
0.545455,-0.0790103,-0.0130457,0
0.555556,-0.0801049,-0.0247211,0
0.565657,-0.0811956,-0.0364029,0
0.575758,-0.0822817,-0.0480801,0
0.585859,-0.0833623,-0.0597421,0
0.59596,-0.0844359,-0.0713788,0
0.606061,-0.0855006,-0.0829804,0
0.616162,-0.086554,-0.0945374,0
0.626263,-0.0875929,-0.10604,0
0.636364,-0.0886134,-0.117478,0
0.646465,-0.0896112,-0.128842,0
0.656566,-0.0905809,-0.140119,0
0.666667,-0.0915172,-0.151297,0
0.676768,-0.0924143,-0.162364,0
0.686869,-0.0932673,-0.173306,0
0.69697,-0.0940719,-0.18411,0
0.707071,-0.094827,-0.194767,0
0.717172,-0.0955345,-0.205273,0
0.727273,-0.0962031,-0.215633,0
0.737374,-0.0968492,-0.225871,0
0.747475,-0.0975008,-0.236034,0
0.757576,-0.0981996,-0.246205,0
0.767677,-0.0990046,-0.256513,0
0.777778,-0.0999918,-0.267149,0
0.787879,-0.101255,-0.278368,0
0.79798,-0.102899,-0.290499,0
0.808081,-0.105029,-0.303929,0
0.818182,-0.107731,-0.319076,0
0.828283,-0.111046,-0.336325,0
0.838384,-0.114929,-0.355933,0
0.848485,-0.119215,-0.377898,0
0.858586,-0.123573,-0.401791,0
0.868687,-0.127488,-0.426581,0
0.878788,-0.130246,-0.450486,0
0.888889,-0.130996,-0.470901,0
0.89899,-0.128824,-0.484485,0
0.909091,-0.12294,-0.48746,0
0.919192,-0.112849,-0.476212,0
0.929293,-0.0986236,-0.448122,0
0.939394,-0.0810052,-0.402522,0
0.949495,-0.0614929,-0.341376,0
0.959596,-0.0420344,-0.269346,0
0.969697,-0.0247404,-0.192932,0
0.979798,-0.0113024,-0.119043,0
0.989899,-0.00290281,-0.0534793,0
1,-5.63512e-16,-1.05566e-14,0
