x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000769831,0.0385415,0
0.05,-0.00286545,0.0634506,0
0.075,-0.00602146,0.0789286,0
0.1,-0.00998166,0.0884525,0
0.125,-0.014534,0.0945693,0
0.15,-0.0195857,0.0990841,0
0.175,-0.0250996,0.103112,0
0.2,-0.0311491,0.107499,0
0.225,-0.0378578,0.112876,0
0.25,-0.04542,0.120058,0
0.275,-0.0540658,0.129861,0
0.3,-0.0639693,0.14304,0
0.325,-0.0751983,0.159444,0
0.35,-0.0874872,0.177493,0
0.375,-0.100307,0.193802,0
0.4,-0.112755,0.204106,0
0.425,-0.124,0.20475,0
0.45,-0.13332,0.194188,0
0.475,-0.140644,0.173479,0
0.5,-0.146187,0.145361,0
0.525,-0.150597,0.112978,0
0.55,-0.15433,0.0786219,0
0.575,-0.157638,0.0435079,0
0.6,-0.160218,0.00796368,0
0.625,-0.161814,-0.0273582,0
0.65,-0.162091,-0.0619013,0
0.675,-0.161123,-0.09454,0
0.7,-0.159337,-0.12486,0
0.725,-0.157634,-0.152711,0
0.75,-0.157386,-0.179658,0
0.775,-0.159758,-0.207903,0
0.8,-0.165302,-0.240414,0
0.825,-0.17212,-0.277642,0
0.85,-0.175975,-0.315504,0
0.875,-0.169693,-0.341958,0
0.9,-0.146478,-0.337743,0
0.925,-0.103046,-0.281567,0
0.95,-0.0483381,-0.173126,0
0.975,-0.0088424,-0.0599684,0
1,0,0,0
