y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0149607,-0.000200787,0
0.05,-0.0267687,-0.000797862,0
0.075,-0.0361852,-0.00175818,0
0.1,-0.0440518,-0.00298798,0
0.125,-0.0513865,-0.0042927,0
0.15,-0.0594704,-0.00530858,0
0.175,-0.0698109,-0.00543305,0
0.2,-0.0840462,-0.00378439,0
0.225,-0.103495,0.000703768,0
0.25,-0.128576,0.00904968,0
0.275,-0.158025,0.0217805,0
0.3,-0.188682,0.0385977,0
0.325,-0.215871,0.0581916,0
0.35,-0.23485,0.078563,0
0.375,-0.242283,0.0974511,0
0.4,-0.237626,0.113188,0
0.425,-0.222737,0.125089,0
0.45,-0.200856,0.133697,0
0.475,-0.174717,0.140055,0
0.5,-0.146187,0.145361,0
0.525,-0.115743,0.150119,0
0.55,-0.0837532,0.1547,0
0.575,-0.0501193,0.158747,0
0.6,-0.0154201,0.161944,0
0.625,0.0197621,0.163689,0
0.65,0.0540293,0.163597,0
0.675,0.0860079,0.161058,0
0.7,0.113699,0.15581,0
0.725,0.135669,0.1476,0
0.75,0.15079,0.136819,0
0.775,0.159347,0.123984,0
0.8,0.162276,0.11008,0
0.825,0.161408,0.0958116,0
0.85,0.15838,0.0818959,0
0.875,0.155302,0.0684886,0
0.9,0.157452,0.0555083,0
0.925,0.184622,0.0419886,0
0.95,0.287985,0.026672,0
0.975,0.548303,0.0102682,0
1,1,0,0
