y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0063191,3.26524e-05,0
0.05,-0.00958993,8.53536e-05,0
0.075,-0.01102,0.000141621,0
0.1,-0.0116539,0.000203118,0
0.125,-0.0120472,0.000265906,0
0.15,-0.0124302,0.000339619,0
0.175,-0.0128662,0.0004163,0
0.2,-0.013387,0.000510936,0
0.225,-0.0139849,0.000609413,0
0.25,-0.0146819,0.000734806,0
0.275,-0.0154583,0.000864382,0
0.3,-0.016346,0.0010329,0
0.325,-0.0173126,0.00120524,0
0.35,-0.0184065,0.00143256,0
0.375,-0.019575,0.00166227,0
0.4,-0.0208907,0.00196794,0
0.425,-0.0222704,0.00227288,0
0.45,-0.0238217,0.00268041,0
0.475,-0.0254163,0.00308142,0
0.5,-0.0272119,0.0036173,0
0.525,-0.0290207,0.00414082,0
0.55,-0.0310529,0.00482651,0
0.575,-0.0330681,0.00550146,0
0.6,-0.0353111,0.00635238,0
0.625,-0.0375025,0.00719568,0
0.65,-0.0399136,0.00821649,0
0.675,-0.0422322,0.00922727,0
0.7,-0.0447472,0.0103973,0
0.725,-0.0471279,0.0115441,0
0.75,-0.0496666,0.0128054,0
0.775,-0.0520337,0.014015,0
0.8,-0.0544809,0.0152651,0
0.825,-0.0565711,0.0164118,0
0.85,-0.0578563,0.0174709,0
0.875,-0.0552584,0.0182301,0
0.9,-0.0391691,0.0183493,0
0.925,0.0176235,0.0169622,0
0.95,0.170099,0.0128649,0
0.975,0.49001,0.00582385,0
1,1,0,0
