y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0148267,-0.000141269,0
0.05,-0.0264061,-0.000537936,0
0.075,-0.0353711,-0.00118098,0
0.1,-0.0424176,-0.00205311,0
0.125,-0.0482667,-0.00311195,0
0.15,-0.0536727,-0.00425875,0
0.175,-0.0594124,-0.00530231,0
0.2,-0.0663951,-0.00587369,0
0.225,-0.075661,-0.00535428,0
0.25,-0.0883887,-0.00277577,0
0.275,-0.105532,0.00308831,0
0.3,-0.127315,0.0135077,0
0.325,-0.15242,0.0291982,0
0.35,-0.177769,0.0498657,0
0.375,-0.198927,0.0738991,0
0.4,-0.21173,0.0989132,0
0.425,-0.213584,0.12235,0
0.45,-0.204502,0.1425,0
0.475,-0.186176,0.158655,0
0.5,-0.161212,0.171223,0
0.525,-0.131486,0.180521,0
0.55,-0.0988893,0.187621,0
0.575,-0.0642774,0.19263,0
0.6,-0.0288277,0.195484,0
0.625,0.00643715,0.195619,0
0.65,0.0397473,0.19263,0
0.675,0.069506,0.186004,0
0.7,0.0938529,0.175836,0
0.725,0.111946,0.162474,0
0.75,0.123542,0.146971,0
0.775,0.129682,0.130334,0
0.8,0.13162,0.11371,0
0.825,0.131008,0.0976809,0
0.85,0.129035,0.0826893,0
0.875,0.12752,0.0686135,0
0.9,0.132132,0.0551887,0
0.925,0.163727,0.041433,0
0.95,0.273715,0.0261905,0
0.975,0.541173,0.0101008,0
1,1,0,0
