x,U_0,U_1,U_2
0,0,0,0
0.010101,0.000150755,0.0533536,0
0.020202,0.000193271,0.0981576,0
0.030303,-0.000168679,0.135191,0
0.040404,-0.00109884,0.165449,0
0.0505051,-0.00263351,0.190152,0
0.0606061,-0.00471756,0.210577,0
0.0707071,-0.00724076,0.227928,0
0.0808081,-0.0100743,0.243184,0
0.0909091,-0.0130946,0.257049,0
0.10101,-0.0161973,0.269937,0
0.111111,-0.0193018,0.282017,0
0.121212,-0.0223491,0.293269,0
0.131313,-0.0252974,0.303554,0
0.141414,-0.0281172,0.312675,0
0.151515,-0.0307873,0.320419,0
0.161616,-0.0332923,0.32659,0
0.171717,-0.0356218,0.331035,0
0.181818,-0.0377698,0.333647,0
0.191919,-0.039735,0.334381,0
0.20202,-0.041521,0.333248,0
0.212121,-0.043136,0.330319,0
0.222222,-0.0445927,0.325713,0
0.232323,-0.0459075,0.319592,0
0.242424,-0.0470999,0.312149,0
0.252525,-0.0481911,0.303597,0
0.262626,-0.0492029,0.294154,0
0.272727,-0.0501568,0.28403,0
0.282828,-0.0510728,0.273424,0
0.292929,-0.0519686,0.262506,0
0.30303,-0.0528593,0.25142,0
0.313131,-0.0537568,0.240277,0
0.323232,-0.0546701,0.229157,0
0.333333,-0.055605,0.218112,0
0.343434,-0.0565648,0.207167,0
0.353535,-0.0575506,0.196326,0
0.363636,-0.0585616,0.185579,0
0.373737,-0.059596,0.174904,0
0.383838,-0.0606508,0.164274,0
0.393939,-0.0617227,0.15366,0
0.40404,-0.0628084,0.143032,0
0.414141,-0.0639045,0.132364,0
0.424242,-0.065008,0.121635,0
0.434343,-0.0661164,0.110828,0
0.444444,-0.0672275,0.0999322,0
0.454545,-0.0683396,0.0889405,0
0.464646,-0.0694514,0.0778513,0
0.474747,-0.0705621,0.0666667,0
0.484848,-0.0716711,0.0553916,0
0.494949,-0.0727781,0.0440337,0
0.505051,-0.073883,0.0326022,0
0.515152,-0.0749858,0.0211077,0
0.525253,-0.0760867,0.0095615,0
0.535354,-0.0771856,-0.00202493,0
0.545455,-0.0782825,-0.01364,0
0.555556,-0.0793773,-0.0252725,0
0.565657,-0.0804698,-0.0369114,0
0.575758,-0.0815591,-0.0485463,0
0.585859,-0.0826445,-0.0601673,0
0.59596,-0.0837244,-0.0717648,0
0.606061,-0.0847971,-0.0833297,0
0.616162,-0.08586,-0.094853,0
0.626263,-0.0869099,-0.106326,0
0.636364,-0.0879431,-0.117738,0
0.646465,-0.0889551,-0.12908,0
0.656566,-0.0899406,-0.14034,0
0.666667,-0.0908942,-0.151508,0
0.676768,-0.0918102,-0.162569,0
0.686869,-0.0926834,-0.173511,0
0.69697,-0.0935097,-0.184322,0
0.707071,-0.0942875,-0.194991,0
0.717172,-0.0950187,-0.205515,0
0.727273,-0.0957114,-0.215899,0
0.737374,-0.0963814,-0.226166,0
0.747475,-0.0970563,-0.236362,0
0.757576,-0.0977766,-0.246568,0
0.767677,-0.0986006,-0.256913,0
0.777778,-0.0996029,-0.267582,0
0.787879,-0.100877,-0.278831,0
0.79798,-0.102525,-0.290985,0
0.808081,-0.104655,-0.30443,0
0.818182,-0.10735,-0.319582,0
0.828283,-0.110654,-0.336827,0
0.838384,-0.114524,-0.35643,0
0.848485,-0.118799,-0.378392,0
0.858586,-0.123153,-0.402295,0
0.868687,-0.127074,-0.42712,0
0.878788,-0.129854,-0.451096,0
0.888889,-0.130646,-0.471625,0
0.89899,-0.128533,-0.485366,0
0.909091,-0.122722,-0.488529,0
0.919192,-0.112711,-0.477476,0
0.929293,-0.0985628,-0.44955,0
0.939394,-0.0810069,-0.404041,0
0.949495,-0.061534,-0.342877,0
0.959596,-0.0420896,-0.270703,0
0.969697,-0.0247883,-0.194028,0
0.979798,-0.0113314,-0.119796,0
0.989899,-0.00291236,-0.0538531,0
1,-5.65383e-16,-1.06306e-14,0
