y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.0269299,0.000136293,0
0.020202,-0.051732,0.00033704,0
0.030303,-0.0749601,0.000466041,0
0.040404,-0.0971185,0.000450823,0
0.0505051,-0.118696,0.000291114,0
0.0606061,-0.140102,3.55854e-05,0
0.0707071,-0.161647,-0.000232084,0
0.0808081,-0.183475,-0.000419339,0
0.0909091,-0.205561,-0.000439815,0
0.10101,-0.227696,-0.000227876,0
0.111111,-0.24952,0.000257173,0
0.121212,-0.270557,0.00102966,0
0.131313,-0.290268,0.00208075,0
0.141414,-0.308101,0.00338185,0
0.151515,-0.323539,0.00488854,0
0.161616,-0.336144,0.00654433,0
0.171717,-0.345599,0.00828476,0
0.181818,-0.351727,0.0100423,0
0.191919,-0.354515,0.0117516,0
0.20202,-0.354104,0.013355,0
0.212121,-0.350777,0.0148069,0
0.222222,-0.344925,0.0160777,0
0.232323,-0.337011,0.0171542,0
0.242424,-0.327525,0.0180404,0
0.252525,-0.316945,0.0187541,0
0.262626,-0.305705,0.0193244,0
0.272727,-0.294172,0.0197869,0
0.282828,-0.282634,0.02018,0
0.292929,-0.271299,0.0205415,0
0.30303,-0.260294,0.0209053,0
0.313131,-0.249684,0.0212997,0
0.323232,-0.239478,0.0217465,0
0.333333,-0.229647,0.0222607,0
0.343434,-0.220134,0.0228508,0
0.353535,-0.210871,0.02352,0
0.363636,-0.201782,0.0242668,0
0.373737,-0.192796,0.0250863,0
0.383838,-0.183846,0.0259714,0
0.393939,-0.174876,0.0269137,0
0.40404,-0.165841,0.0279044,0
0.414141,-0.156706,0.0289346,0
0.424242,-0.147446,0.0299961,0
0.434343,-0.138045,0.0310813,0
0.444444,-0.128495,0.0321836,0
0.454545,-0.11879,0.0332973,0
0.464646,-0.108934,0.0344175,0
0.474747,-0.0989289,0.0355399,0
0.484848,-0.0887826,0.0366612,0
0.494949,-0.0785032,0.037778,0
0.505051,-0.0680999,0.0388876,0
0.515152,-0.0575825,0.0399875,0
0.525253,-0.0469614,0.0410751,0
0.535354,-0.0362469,0.042148,0
0.545455,-0.0254495,0.0432039,0
0.555556,-0.0145794,0.0442403,0
0.565657,-0.00364661,0.0452547,0
0.575758,0.00733938,0.0462446,0
0.585859,0.0183697,0.0472075,0
0.59596,0.0294363,0.048141,0
0.606061,0.0405325,0.0490426,0
0.616162,0.0516526,0.0499099,0
0.626263,0.0627928,0.0507408,0
0.636364,0.073951,0.0515333,0
0.646465,0.0851272,0.0522854,0
0.656566,0.0963234,0.0529956,0
0.666667,0.107544,0.0536624,0
0.676768,0.118793,0.0542843,0
0.686869,0.130079,0.0548598,0
0.69697,0.14141,0.0553875,0
0.707071,0.152792,0.0558655,0
0.717172,0.16423,0.0562915,0
0.727273,0.175726,0.0566624,0
0.737374,0.187278,0.056974,0
0.747475,0.198877,0.0572212,0
0.757576,0.210503,0.057397,0
0.767677,0.222128,0.0574932,0
0.777778,0.233712,0.0574993,0
0.787879,0.2452,0.0574036,0
0.79798,0.256527,0.0571918,0
0.808081,0.267614,0.0568495,0
0.818182,0.278368,0.0563592,0
0.828283,0.28869,0.0557051,0
0.838384,0.298472,0.0548684,0
0.848485,0.307606,0.0538342,0
0.858586,0.315986,0.052584,0
0.868687,0.323522,0.051105,0
0.878788,0.330157,0.0493767,0
0.888889,0.335921,0.0473806,0
0.89899,0.341028,0.0450738,0
0.909091,0.346084,0.0423965,0
0.919192,0.352439,0.0392307,0
0.929293,0.362701,0.0354282,0
0.939394,0.381294,0.0307986,0
0.949495,0.414777,0.0252407,0
0.959596,0.471345,0.0188276,0
0.969697,0.558967,0.012045,0
0.979798,0.681678,0.00580357,0
0.989899,0.834606,0.00142579,0
1,1,2.76256e-16,0
