y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0527596,0.000727225,0
0.05,-0.0982288,0.00115812,0
0.075,-0.141298,0.0012281,0
0.1,-0.184522,0.00174706,0
0.125,-0.226881,0.00343267,0
0.15,-0.264415,0.00640279,0
0.175,-0.292135,0.0103271,0
0.2,-0.306323,0.0145887,0
0.225,-0.305901,0.0185232,0
0.25,-0.293044,0.0216126,0
0.275,-0.271998,0.0236957,0
0.3,-0.247403,0.0249989,0
0.325,-0.222551,0.0259388,0
0.35,-0.199079,0.0269561,0
0.375,-0.177108,0.0282914,0
0.4,-0.156145,0.0300814,0
0.425,-0.135369,0.0322396,0
0.45,-0.114281,0.0347267,0
0.475,-0.0924373,0.0373445,0
0.5,-0.0698635,0.0400826,0
0.525,-0.0464488,0.042739,0
0.55,-0.0225106,0.0453865,0
0.575,0.00197702,0.0478508,0
0.6,0.0266972,0.050239,0
0.625,0.0517502,0.0523817,0
0.65,0.0769068,0.0544109,0
0.675,0.102376,0.0561528,0
0.7,0.127982,0.0577394,0
0.725,0.153868,0.0589552,0
0.75,0.179636,0.0598707,0
0.775,0.204977,0.0601733,0
0.8,0.228965,0.0598299,0
0.825,0.250717,0.0584539,0
0.85,0.269027,0.055985,0
0.875,0.283125,0.0521039,0
0.9,0.293861,0.0467226,0
0.925,0.312858,0.0388834,0
0.95,0.38576,0.0266935,0
0.975,0.601053,0.0105107,0
1,1,0,0
