x,U_0,U_1,U_2
0,0,0,0
0.025641,-0.0014797,0.0554559,0
0.0512821,-0.00543436,0.0959882,0
0.0769231,-0.0115233,0.12524,0
0.102564,-0.0192496,0.146685,0
0.128205,-0.0282364,0.163321,0
0.153846,-0.0381282,0.177339,0
0.179487,-0.04869,0.190058,0
0.205128,-0.0597109,0.20194,0
0.230769,-0.0710183,0.212758,0
0.25641,-0.0824136,0.221794,0
0.282051,-0.0936814,0.228075,0
0.307692,-0.104575,0.230582,0
0.333333,-0.114846,0.228441,0
0.358974,-0.124264,0.221059,0
0.384615,-0.132654,0.20822,0
0.410256,-0.139921,0.190105,0
0.435897,-0.146061,0.167259,0
0.461538,-0.151166,0.140487,0
0.487179,-0.155409,0.110727,0
0.512821,-0.159018,0.0789078,0
0.538462,-0.162259,0.0458325,0
0.564103,-0.165414,0.0121011,0
0.589744,-0.168769,-0.0219347,0
0.615385,-0.172609,-0.0561893,0
0.641026,-0.177193,-0.0908386,0
0.666667,-0.182724,-0.126293,0
0.692308,-0.189239,-0.163112,0
0.717949,-0.196494,-0.201805,0
0.74359,-0.20372,-0.242468,0
0.769231,-0.209473,-0.284202,0
0.794872,-0.211423,-0.324387,0
0.820513,-0.206598,-0.357943,0
0.846154,-0.191714,-0.377083,0
0.871795,-0.16457,-0.372072,0
0.897436,-0.125485,-0.33443,0
0.923077,-0.0798161,-0.262619,0
0.948718,-0.0375213,-0.168389,0
0.974359,-0.00946616,-0.0739225,0
1,-1.15173e-09,-8.2583e-08,0
