y,U_0,U_1,U_2
0,0,0,0
0.025641,-0.0203687,-6.16977e-05,0
0.0512821,-0.0390484,-0.00029908,0
0.0769231,-0.0574094,-0.000632455,0
0.102564,-0.076542,-0.000861521,0
0.128205,-0.0973064,-0.000696346,0
0.153846,-0.120175,0.000213521,0
0.179487,-0.145163,0.00222741,0
0.205128,-0.171704,0.00566494,0
0.230769,-0.19863,0.0107435,0
0.25641,-0.224226,0.0175275,0
0.282051,-0.246428,0.025886,0
0.307692,-0.263122,0.0354818,0
0.333333,-0.272534,0.0457965,0
0.358974,-0.273572,0.0562034,0
0.384615,-0.266054,0.0660744,0
0.410256,-0.2507,0.0748974,0
0.435897,-0.228905,0.0823643,0
0.461538,-0.202372,0.0884029,0
0.487179,-0.172742,0.093144,0
0.512821,-0.141339,0.0968433,0
0.538462,-0.109069,0.0997883,0
0.564103,-0.076459,0.102222,0
0.589744,-0.0437799,0.104293,0
0.615385,-0.011187,0.106044,0
0.641026,0.0211595,0.107413,0
0.666667,0.0530162,0.108266,0
0.692308,0.0840309,0.108415,0
0.717949,0.113753,0.10766,0
0.74359,0.141683,0.105793,0
0.769231,0.167338,0.10265,0
0.794872,0.190359,0.0980668,0
0.820513,0.210763,0.0919335,0
0.846154,0.229622,0.084005,0
0.871795,0.250947,0.0739317,0
0.897436,0.285255,0.060945,0
0.923077,0.353773,0.0445979,0
0.948718,0.487202,0.0255665,0
0.974359,0.709786,0.00817649,0
1,1,1.60968e-09,0
