y,U_0,U_1,U_2
0,0,0,0
0.025641,-0.0360726,0.000174946,0
0.0512821,-0.0688819,0.000198394,0
0.0769231,-0.100026,-6.33765e-05,0
0.102564,-0.130633,-0.000442981,0
0.128205,-0.161376,-0.000567601,0
0.153846,-0.192149,-2.89288e-06,0
0.179487,-0.222074,0.0016204,0
0.205128,-0.249542,0.00452412,0
0.230769,-0.272553,0.00873893,0
0.25641,-0.289093,0.0141048,0
0.282051,-0.297592,0.0202952,0
0.307692,-0.297257,0.0268753,0
0.333333,-0.288253,0.0333809,0
0.358974,-0.271632,0.0394096,0
0.384615,-0.249056,0.0446927,0
0.410256,-0.222407,0.0491308,0
0.435897,-0.193418,0.0527817,0
0.461538,-0.163432,0.0558128,0
0.487179,-0.133309,0.0584384,0
0.512821,-0.103467,0.060864,0
0.538462,-0.0739959,0.0632461,0
0.564103,-0.0447955,0.0656757,0
0.589744,-0.0156906,0.0681734,0
0.615385,0.0134768,0.0707002,0
0.641026,0.0427933,0.0731636,0
0.666667,0.0722429,0.0754369,0
0.692308,0.101698,0.0773575,0
0.717949,0.130921,0.0787532,0
0.74359,0.15958,0.0794236,0
0.769231,0.187276,0.0791869,0
0.794872,0.213599,0.0778226,0
0.820513,0.238325,0.0751378,0
0.846154,0.261968,0.0707746,0
0.871795,0.287486,0.0642404,0
0.897436,0.323749,0.0545475,0
0.923077,0.390192,0.0409307,0
0.948718,0.516451,0.023785,0
0.974359,0.726789,0.007501,0
1,1,9.14125e-10,0
