x,U_0,U_1,U_2
0,0,0,0
0.010101,9.96141e-05,0.050143,0
0.020202,4.67293e-05,0.0922973,0
0.030303,-0.000413841,0.127222,0
0.040404,-0.00142136,0.15586,0
0.0505051,-0.0030062,0.179348,0
0.0606061,-0.00511827,0.198873,0
0.0707071,-0.00765933,0.215559,0
0.0808081,-0.0105128,0.230335,0
0.0909091,-0.0135652,0.24389,0
0.10101,-0.0167186,0.25664,0
0.111111,-0.0198952,0.268772,0
0.121212,-0.0230359,0.280284,0
0.131313,-0.0260975,0.291052,0
0.141414,-0.0290474,0.300875,0
0.151515,-0.0318613,0.309527,0
0.161616,-0.0345199,0.316787,0
0.171717,-0.0370085,0.322463,0
0.181818,-0.0393168,0.326409,0
0.191919,-0.041439,0.32853,0
0.20202,-0.0433742,0.328792,0
0.212121,-0.0451269,0.327219,0
0.222222,-0.0467065,0.32389,0
0.232323,-0.0481273,0.318936,0
0.242424,-0.0494073,0.312526,0
0.252525,-0.0505676,0.304858,0
0.262626,-0.051631,0.296144,0
0.272727,-0.0526209,0.286602,0
0.282828,-0.0535597,0.276439,0
0.292929,-0.0544683,0.265844,0
0.30303,-0.0553651,0.254982,0
0.313131,-0.0562653,0.243984,0
0.323232,-0.0571807,0.232952,0
0.333333,-0.0581198,0.221955,0
0.343434,-0.0590878,0.211034,0
0.353535,-0.0600873,0.200206,0
0.363636,-0.0611184,0.189467,0
0.373737,-0.0621792,0.1788,0
0.383838,-0.0632669,0.168181,0
0.393939,-0.0643774,0.157577,0
0.40404,-0.0655065,0.146958,0
0.414141,-0.0666498,0.136294,0
0.424242,-0.0678029,0.125561,0
0.434343,-0.0689622,0.114738,0
0.444444,-0.0701242,0.10381,0
0.454545,-0.0712861,0.0927699,0
0.464646,-0.0724457,0.0816137,0
0.474747,-0.0736012,0.0703427,0
0.484848,-0.0747512,0.0589623,0
0.494949,-0.0758947,0.047481,0
0.505051,-0.0770311,0.0359096,0
0.515152,-0.07816,0.0242606,0
0.525253,-0.079281,0.0125476,0
0.535354,-0.0803939,0.000784598,0
0.545455,-0.0814985,-0.011014,0
0.555556,-0.0825944,-0.022834,0
0.565657,-0.0836812,-0.0346617,0
0.575758,-0.0847582,-0.0464838,0
0.585859,-0.0858243,-0.0582876,0
0.59596,-0.086878,-0.0700609,0
0.606061,-0.0879174,-0.0817919,0
0.616162,-0.0889399,-0.0934692,0
0.626263,-0.0899424,-0.105081,0
0.636364,-0.090921,-0.116616,0
0.646465,-0.0918711,-0.128061,0
0.656566,-0.0927877,-0.139405,0
0.666667,-0.0936652,-0.150632,0
0.676768,-0.0944981,-0.16173,0
0.686869,-0.0952816,-0.172683,0
0.69697,-0.096012,-0.183478,0
0.707071,-0.0966885,-0.194106,0
0.717172,-0.0973143,-0.204562,0
0.727273,-0.0978993,-0.214854,0
0.737374,-0.0984616,-0.225007,0
0.747475,-0.0990318,-0.235072,0
0.757576,-0.0996544,-0.245136,0
0.767677,-0.100392,-0.255336,0
0.777778,-0.101323,-0.265867,0
0.787879,-0.102547,-0.276996,0
0.79798,-0.10417,-0.289056,0
0.808081,-0.1063,-0.302443,0
0.818182,-0.109019,-0.317575,0
0.828283,-0.112367,-0.334832,0
0.838384,-0.116288,-0.35446,0
0.848485,-0.120607,-0.376431,0
0.858586,-0.124976,-0.400287,0
0.868687,-0.128866,-0.424959,0
0.878788,-0.131549,-0.448632,0
0.888889,-0.132165,-0.468679,0
0.89899,-0.1298,-0.481761,0
0.909091,-0.123677,-0.484139,0
0.919192,-0.113324,-0.472277,0
0.929293,-0.0988473,-0.443672,0
0.939394,-0.0810246,-0.397787,0
0.949495,-0.061381,-0.336697,0
0.959596,-0.041873,-0.265111,0
0.969697,-0.0245972,-0.189495,0
0.979798,-0.0112157,-0.116655,0
0.989899,-0.00287429,-0.0522681,0
1,-5.5793e-16,-1.03169e-14,0
