x,U_0,U_1,U_2
0,0,0,0
0.010101,-0.000110365,0.00638555,0
0.020202,-0.000408814,0.0118191,0
0.030303,-0.000869346,0.0163706,0
0.040404,-0.00146282,0.0201125,0
0.0505051,-0.00216498,0.0231224,0
0.0606061,-0.00295125,0.0254836,0
0.0707071,-0.00380207,0.0272831,0
0.0808081,-0.00469915,0.0286082,0
0.0909091,-0.00562874,0.0295426,0
0.10101,-0.00657884,0.0301636,0
0.111111,-0.00754102,0.0305392,0
0.121212,-0.00850827,0.0307268,0
0.131313,-0.00947606,0.0307733,0
0.141414,-0.0104407,0.0307152,0
0.151515,-0.0114001,0.0305804,0
0.161616,-0.0123523,0.030389,0
0.171717,-0.0132966,0.0301553,0
0.181818,-0.0142323,0.0298894,0
0.191919,-0.0151588,0.0295979,0
0.20202,-0.0160761,0.0292851,0
0.212121,-0.016984,0.028954,0
0.222222,-0.0178825,0.0286065,0
0.232323,-0.0187719,0.0282438,0
0.242424,-0.0196523,0.0278668,0
0.252525,-0.0205239,0.0274761,0
0.262626,-0.021387,0.0270721,0
0.272727,-0.022242,0.026655,0
0.282828,-0.0230893,0.0262251,0
0.292929,-0.0239294,0.0257824,0
0.30303,-0.0247628,0.0253271,0
0.313131,-0.02559,0.0248589,0
0.323232,-0.0264116,0.0243777,0
0.333333,-0.0272284,0.0238832,0
0.343434,-0.0280407,0.0233751,0
0.353535,-0.0288495,0.0228529,0
0.363636,-0.0296553,0.022316,0
0.373737,-0.0304589,0.0217637,0
0.383838,-0.031261,0.0211951,0
0.393939,-0.0320622,0.0206092,0
0.40404,-0.0328635,0.0200049,0
0.414141,-0.0336653,0.0193809,0
0.424242,-0.0344683,0.0187356,0
0.434343,-0.0352732,0.0180674,0
0.444444,-0.0360805,0.0173745,0
0.454545,-0.0368907,0.0166546,0
0.464646,-0.0377041,0.0159056,0
0.474747,-0.0385209,0.0151249,0
0.484848,-0.0393413,0.0143097,0
0.494949,-0.040165,0.013457,0
0.505051,-0.0409919,0.0125634,0
0.515152,-0.0418211,0.0116253,0
0.525253,-0.0426518,0.010639,0
0.535354,-0.0434825,0.0096003,0
0.545455,-0.0443116,0.00850482,0
0.555556,-0.0451367,0.00734793,0
0.565657,-0.0459549,0.00612479,0
0.575758,-0.0467627,0.00483038,0
0.585859,-0.0475557,0.00345955,0
0.59596,-0.0483286,0.00200709,0
0.606061,-0.0490755,0.000467818,0
0.616162,-0.049789,-0.00116328,0
0.626263,-0.0504609,-0.00289094,0
0.636364,-0.0510817,-0.00471944,0
0.646465,-0.0516405,-0.00665236,0
0.656566,-0.0521253,-0.00869241,0
0.666667,-0.0525225,-0.0108411,0
0.676768,-0.0528176,-0.0130984,0
0.686869,-0.0529947,-0.0154625,0
0.69697,-0.0530368,-0.0179292,0
0.707071,-0.0529265,-0.020492,0
0.717172,-0.0526456,-0.023141,0
0.727273,-0.0521765,-0.0258633,0
0.737374,-0.0515021,-0.0286418,0
0.747475,-0.0506068,-0.0314558,0
0.757576,-0.0494774,-0.0342801,0
0.767677,-0.048104,-0.0370854,0
0.777778,-0.0464811,-0.0398381,0
0.787879,-0.0446084,-0.0425007,0
0.79798,-0.0424919,-0.0450327,0
0.808081,-0.0401445,-0.0473906,0
0.818182,-0.0375867,-0.0495292,0
0.828283,-0.0348461,-0.0514025,0
0.838384,-0.0319576,-0.0529645,0
0.848485,-0.0289621,-0.0541697,0
0.858586,-0.0259052,-0.054974,0
0.868687,-0.0228356,-0.0553343,0
0.878788,-0.0198032,-0.055208,0
0.888889,-0.0168572,-0.0545524,0
0.89899,-0.0140439,-0.053323,0
0.909091,-0.0114066,-0.0514732,0
0.919192,-0.0089833,-0.0489526,0
0.929293,-0.00680762,-0.0457081,0
0.939394,-0.00490718,-0.0416851,0
0.949495,-0.00330568,-0.0368329,0
0.959596,-0.00201899,-0.0311106,0
0.969697,-0.00105782,-0.0245016,0
0.979798,-0.000418158,-0.0170299,0
0.989899,-8.27878e-05,-0.00879252,0
1,-1.58861e-17,-1.74061e-15,0
