y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00602911,-9.12278e-06,0
0.020202,-0.0114228,-3.50333e-05,0
0.030303,-0.0162362,-7.7869e-05,0
0.040404,-0.0205221,-0.000138188,0
0.0505051,-0.0243334,-0.000217003,0
0.0606061,-0.0277209,-0.00031517,0
0.0707071,-0.0307344,-0.000433522,0
0.0808081,-0.0334217,-0.000572473,0
0.0909091,-0.0358291,-0.00073218,0
0.10101,-0.0380005,-0.000912292,0
0.111111,-0.0399776,-0.0011121,0
0.121212,-0.0417995,-0.00133037,0
0.131313,-0.043503,-0.00156548,0
0.141414,-0.0451224,-0.00181525,0
0.151515,-0.0466895,-0.00207705,0
0.161616,-0.0482341,-0.00234758,0
0.171717,-0.0497844,-0.00262283,0
0.181818,-0.0513673,-0.00289773,0
0.191919,-0.0530094,-0.00316591,0
0.20202,-0.0547377,-0.00341903,0
0.212121,-0.056581,-0.00364611,0
0.222222,-0.0585711,-0.00383248,0
0.232323,-0.0607444,-0.0039585,0
0.242424,-0.0631436,-0.0039979,0
0.252525,-0.0658189,-0.00391602,0
0.262626,-0.0688297,-0.00366772,0
0.272727,-0.0722445,-0.0031955,0
0.282828,-0.0761402,-0.0024279,0
0.292929,-0.0805995,-0.00127869,0
0.30303,-0.0857063,0.000352725,0
0.313131,-0.0915388,0.00257924,0
0.323232,-0.0981598,0.00552187,0
0.333333,-0.105606,0.00930343,0
0.343434,-0.113875,0.01404,0
0.353535,-0.122917,0.019831,0
0.363636,-0.132621,0.0267485,0
0.373737,-0.142818,0.0348267,0
0.383838,-0.153272,0.0440543,0
0.393939,-0.163698,0.0543687,0
0.40404,-0.173768,0.0656555,0
0.414141,-0.183136,0.0777519,0
0.424242,-0.191459,0.0904546,0
0.434343,-0.198417,0.103532,0
0.444444,-0.20374,0.116738,0
0.454545,-0.20722,0.12983,0
0.464646,-0.208724,0.142581,0
0.474747,-0.208195,0.154792,0
0.484848,-0.205652,0.166303,0
0.494949,-0.201171,0.176997,0
0.505051,-0.194884,0.186801,0
0.515152,-0.18695,0.195683,0
0.525253,-0.17755,0.20364,0
0.535354,-0.166869,0.2107,0
0.545455,-0.155088,0.216903,0
0.555556,-0.142375,0.222299,0
0.565657,-0.128883,0.226938,0
0.575758,-0.114751,0.230864,0
0.585859,-0.100104,0.234113,0
0.59596,-0.0850569,0.236707,0
0.606061,-0.0697186,0.238656,0
0.616162,-0.0541959,0.239958,0
0.626263,-0.0385972,0.2406,0
0.636364,-0.0230357,0.240559,0
0.646465,-0.00763094,0.239807,0
0.656566,0.00749005,0.238313,0
0.666667,0.0221938,0.236045,0
0.676768,0.0363421,0.232978,0
0.686869,0.0497964,0.229096,0
0.69697,0.0624218,0.224395,0
0.707071,0.0740944,0.218885,0
0.717172,0.0847071,0.212599,0
0.727273,0.0941773,0.205589,0
0.737374,0.102452,0.197926,0
0.747475,0.109512,0.189702,0
0.757576,0.115374,0.181021,0
0.767677,0.120092,0.171999,0
0.777778,0.123746,0.162753,0
0.787879,0.126445,0.153399,0
0.79798,0.128313,0.144043,0
0.808081,0.129484,0.134777,0
0.818182,0.13009,0.125676,0
0.828283,0.130259,0.116796,0
0.838384,0.130112,0.108173,0
0.848485,0.129764,0.0998272,0
0.858586,0.129343,0.0917589,0
0.868687,0.129021,0.0839599,0
0.878788,0.129079,0.0764052,0
0.888889,0.130023,0.0690663,0
0.89899,0.132752,0.0618951,0
0.909091,0.138798,0.0548413,0
0.919192,0.150609,0.0478293,0
0.929293,0.171825,0.0407918,0
0.939394,0.20741,0.0336545,0
0.949495,0.263521,0.0264175,0
0.959596,0.346856,0.0191667,0
0.969697,0.463268,0.0122188,0
0.979798,0.615384,0.006117,0
0.989899,0.799186,0.00173107,0
1,1,3.37241e-16,0
