x,U_0,U_1,U_2
0,0,0,0
0.010101,-0.000142134,0.0137901,0
0.020202,-0.000530772,0.0253884,0
0.030303,-0.00113915,0.0350681,0
0.040404,-0.0019369,0.0430862,0
0.0505051,-0.00290018,0.0496822,0
0.0606061,-0.00400396,0.0550741,0
0.0707071,-0.0052288,0.0594588,0
0.0808081,-0.00655559,0.0630102,0
0.0909091,-0.00797001,0.0658812,0
0.10101,-0.00945879,0.0682033,0
0.111111,-0.0110125,0.0700889,0
0.121212,-0.0126232,0.0716328,0
0.131313,-0.0142857,0.0729141,0
0.141414,-0.0159962,0.0739981,0
0.151515,-0.0177532,0.0749382,0
0.161616,-0.0195564,0.0757774,0
0.171717,-0.0214071,0.0765504,0
0.181818,-0.0233076,0.0772845,0
0.191919,-0.0252616,0.0780015,0
0.20202,-0.0272738,0.0787181,0
0.212121,-0.0293498,0.0794475,0
0.222222,-0.0314965,0.0802,0
0.232323,-0.0337217,0.0809837,0
0.242424,-0.0360342,0.0818056,0
0.252525,-0.0384445,0.0826718,0
0.262626,-0.0409643,0.0835894,0
0.272727,-0.0436073,0.0845666,0
0.282828,-0.0463894,0.085615,0
0.292929,-0.0493296,0.0867516,0
0.30303,-0.0524504,0.0880009,0
0.313131,-0.0557794,0.0893983,0
0.323232,-0.0593499,0.0909932,0
0.333333,-0.0632023,0.0928519,0
0.343434,-0.0673848,0.095059,0
0.353535,-0.071954,0.0977172,0
0.363636,-0.0769739,0.100942,0
0.373737,-0.0825135,0.104854,0
0.383838,-0.0886426,0.10956,0
0.393939,-0.095425,0.115138,0
0.40404,-0.10291,0.121607,0
0.414141,-0.111123,0.12891,0
0.424242,-0.120055,0.136895,0
0.434343,-0.129658,0.145304,0
0.444444,-0.139835,0.153784,0
0.454545,-0.150447,0.161907,0
0.464646,-0.161318,0.169199,0
0.474747,-0.172242,0.17519,0
0.484848,-0.183003,0.179445,0
0.494949,-0.193387,0.18161,0
0.505051,-0.203197,0.181436,0
0.515152,-0.212271,0.178794,0
0.525253,-0.220488,0.173674,0
0.535354,-0.227772,0.166176,0
0.545455,-0.234098,0.156494,0
0.555556,-0.239486,0.144883,0
0.565657,-0.24399,0.131636,0
0.575758,-0.247693,0.117059,0
0.585859,-0.250691,0.101443,0
0.59596,-0.253088,0.0850545,0
0.606061,-0.25498,0.0681208,0
0.616162,-0.256454,0.050831,0
0.626263,-0.257584,0.0333359,0
0.636364,-0.258427,0.015754,0
0.646465,-0.259028,-0.00182268,0
0.656566,-0.259426,-0.019322,0
0.666667,-0.259652,-0.0366878,0
0.676768,-0.259744,-0.0538774,0
0.686869,-0.259741,-0.0708613,0
0.69697,-0.259692,-0.0876258,0
0.707071,-0.259658,-0.104175,0
0.717172,-0.259707,-0.120536,0
0.727273,-0.259913,-0.136758,0
0.737374,-0.260348,-0.152917,0
0.747475,-0.261071,-0.169104,0
0.757576,-0.262113,-0.185423,0
0.767677,-0.263458,-0.201967,0
0.777778,-0.265022,-0.218793,0
0.787879,-0.266635,-0.235887,0
0.79798,-0.26802,-0.253124,0
0.808081,-0.268785,-0.270222,0
0.818182,-0.268418,-0.286702,0
0.828283,-0.266314,-0.301856,0
0.838384,-0.261804,-0.314747,0
0.848485,-0.254228,-0.32423,0
0.858586,-0.243012,-0.329035,0
0.868687,-0.227786,-0.327895,0
0.878788,-0.208488,-0.319734,0
0.888889,-0.185471,-0.303898,0
0.89899,-0.159553,-0.280386,0
0.909091,-0.131998,-0.25001,0
0.919192,-0.104368,-0.214425,0
0.929293,-0.0782975,-0.175931,0
0.939394,-0.0551979,-0.137134,0
0.949495,-0.0360498,-0.100495,0
0.959596,-0.0212773,-0.0680235,0
0.969697,-0.0108214,-0.0410942,0
0.979798,-0.00423589,-0.0205392,0
0.989899,-0.000880451,-0.00676075,0
1,-1.69371e-16,-1.3238e-15,0
