y,U_0,U_1,U_2
0,0,0,0
0.010101,-0.00869713,-5.06109e-05,0
0.020202,-0.0167913,-0.000198297,0
0.030303,-0.02454,-0.000432799,0
0.040404,-0.0321858,-0.000733654,0
0.0505051,-0.0399699,-0.0010726,0
0.0606061,-0.0481248,-0.00141174,0
0.0707071,-0.0568795,-0.00170619,0
0.0808081,-0.0664484,-0.00190335,0
0.0909091,-0.0770271,-0.00194608,0
0.10101,-0.0887782,-0.00177343,0
0.111111,-0.101821,-0.00132447,0
0.121212,-0.116217,-0.000540571,0
0.131313,-0.131958,0.000630342,0
0.141414,-0.148952,0.00223079,0
0.151515,-0.167021,0.00428963,0
0.161616,-0.185895,0.0068194,0
0.171717,-0.205219,0.00981318,0
0.181818,-0.224559,0.013243,0
0.191919,-0.243421,0.0170584,0
0.20202,-0.261279,0.0211869,0
0.212121,-0.277599,0.0255357,0
0.222222,-0.29188,0.0299955,0
0.232323,-0.303689,0.0344459,0
0.242424,-0.312696,0.0387638,0
0.252525,-0.318704,0.042832,0
0.262626,-0.321659,0.0465488,0
0.272727,-0.321661,0.0498361,0
0.282828,-0.318941,0.0526457,0
0.292929,-0.313844,0.0549627,0
0.30303,-0.306787,0.0568045,0
0.313131,-0.298219,0.0582175,0
0.323232,-0.288589,0.059271,0
0.333333,-0.278303,0.0600488,0
0.343434,-0.267709,0.0606414,0
0.353535,-0.257076,0.0611376,0
0.363636,-0.246592,0.0616184,0
0.373737,-0.236367,0.062152,0
0.383838,-0.226442,0.0627907,0
0.393939,-0.216803,0.0635705,0
0.40404,-0.207395,0.064511,0
0.414141,-0.198135,0.0656173,0
0.424242,-0.18893,0.0668824,0
0.434343,-0.179685,0.0682904,0
0.444444,-0.170308,0.0698186,0
0.454545,-0.160724,0.0714407,0
0.464646,-0.150871,0.0731288,0
0.474747,-0.140704,0.0748552,0
0.484848,-0.130195,0.0765938,0
0.494949,-0.119331,0.0783207,0
0.505051,-0.108115,0.0800149,0
0.515152,-0.0965562,0.081658,0
0.525253,-0.0846772,0.0832349,0
0.535354,-0.0725058,0.0847329,0
0.545455,-0.060075,0.0861419,0
0.555556,-0.0474214,0.0874538,0
0.565657,-0.0345831,0.0886624,0
0.575758,-0.0215992,0.0897634,0
0.585859,-0.00850809,0.0907539,0
0.59596,0.00465341,0.0916323,0
0.606061,0.0178508,0.0923986,0
0.616162,0.0310529,0.0930538,0
0.626263,0.0442323,0.0936002,0
0.636364,0.057366,0.094041,0
0.646465,0.0704352,0.0943803,0
0.656566,0.083425,0.0946222,0
0.666667,0.0963239,0.0947711,0
0.676768,0.109122,0.0948305,0
0.686869,0.121811,0.0948035,0
0.69697,0.134378,0.0946908,0
0.707071,0.146806,0.0944907,0
0.717172,0.159073,0.0941989,0
0.727273,0.171144,0.0938075,0
0.737374,0.182972,0.0933047,0
0.747475,0.194498,0.0926757,0
0.757576,0.205647,0.0919018,0
0.767677,0.216331,0.0909622,0
0.777778,0.226452,0.0898337,0
0.787879,0.235905,0.0884935,0
0.79798,0.244581,0.0869185,0
0.808081,0.252377,0.0850889,0
0.818182,0.259201,0.0829869,0
0.828283,0.264978,0.0806016,0
0.838384,0.269656,0.0779246,0
0.848485,0.273216,0.0749568,0
0.858586,0.275674,0.0717002,0
0.868687,0.277097,0.0681658,0
0.878788,0.27763,0.0643584,0
0.888889,0.27756,0.0602845,0
0.89899,0.27744,0.0559253,0
0.909091,0.27833,0.0512464,0
0.919192,0.282152,0.0461625,0
0.929293,0.292157,0.040576,0
0.939394,0.313332,0.0343705,0
0.949495,0.352498,0.0275326,0
0.959596,0.417646,0.0202004,0
0.969697,0.516129,0.0128512,0
0.979798,0.651374,0.0062811,0
0.989899,0.818466,0.00164689,0
1,1,3.19932e-16,0
