x,U_0,U_1,U_2
0,0,0,0
0.025,-0.00079447,0.0481812,0
0.05,-0.00323624,0.0792729,0
0.075,-0.00711544,0.0985045,0
0.1,-0.0121103,0.110583,0
0.125,-0.0179313,0.119245,0
0.15,-0.0244458,0.127366,0
0.175,-0.0315974,0.13697,0
0.2,-0.0394269,0.149495,0
0.225,-0.047924,0.165381,0
0.25,-0.0569936,0.183939,0
0.275,-0.0663745,0.202945,0
0.3,-0.0756313,0.219204,0
0.325,-0.0842721,0.229213,0
0.35,-0.0918092,0.230453,0
0.375,-0.0980398,0.222038,0
0.4,-0.102982,0.205035,0
0.425,-0.107062,0.181797,0
0.45,-0.110706,0.154962,0
0.475,-0.114423,0.126515,0
0.5,-0.118288,0.0972869,0
0.525,-0.122245,0.0674172,0
0.55,-0.125887,0.0366239,0
0.575,-0.128952,0.00510443,0
0.6,-0.131012,-0.0268512,0
0.625,-0.131943,-0.0582752,0
0.65,-0.131613,-0.0884707,0
0.675,-0.130203,-0.11638,0
0.7,-0.128125,-0.141842,0
0.725,-0.126145,-0.164921,0
0.75,-0.125541,-0.187445,0
0.775,-0.127568,-0.21198,0
0.8,-0.133304,-0.24235,0
0.825,-0.141736,-0.280329,0
0.85,-0.149649,-0.323398,0
0.875,-0.150364,-0.360235,0
0.9,-0.136532,-0.370158,0
0.925,-0.102638,-0.326266,0
0.95,-0.052934,-0.216744,0
0.975,-0.0111934,-0.0836861,0
1,0,0,0
