x,U_0,U_1,U_2
0,0,0,0
0.010101,-4.2869e-06,0.0436007,0
0.020202,-0.000251776,0.0802078,0
0.030303,-0.000914466,0.110576,0
0.040404,-0.00208077,0.135575,0
0.0505051,-0.00376699,0.156196,0
0.0606061,-0.00593157,0.173456,0
0.0707071,-0.00850016,0.188325,0
0.0808081,-0.0113823,0.201632,0
0.0909091,-0.0144886,0.214027,0
0.10101,-0.0177374,0.225946,0
0.111111,-0.0210609,0.237629,0
0.121212,-0.0244036,0.249139,0
0.131313,-0.0277215,0.260406,0
0.141414,-0.0309786,0.27126,0
0.151515,-0.0341449,0.281479,0
0.161616,-0.0371937,0.290809,0
0.171717,-0.0401018,0.299001,0
0.181818,-0.0428485,0.305826,0
0.191919,-0.0454171,0.311091,0
0.20202,-0.0477948,0.31465,0
0.212121,-0.0499744,0.316414,0
0.222222,-0.0519542,0.316354,0
0.232323,-0.053739,0.314498,0
0.242424,-0.0553397,0.310933,0
0.252525,-0.0567729,0.305793,0
0.262626,-0.0580597,0.299252,0
0.272727,-0.0592248,0.291511,0
0.282828,-0.0602947,0.282784,0
0.292929,-0.0612964,0.273286,0
0.30303,-0.0622562,0.263221,0
0.313131,-0.0631977,0.252769,0
0.323232,-0.0641418,0.242086,0
0.333333,-0.0651051,0.231291,0
0.343434,-0.0661004,0.220474,0
0.353535,-0.0671359,0.20969,0
0.363636,-0.0682162,0.198967,0
0.373737,-0.0693422,0.188309,0
0.383838,-0.0705119,0.1777,0
0.393939,-0.0717211,0.167116,0
0.40404,-0.0729639,0.156523,0
0.414141,-0.0742336,0.145886,0
0.424242,-0.075523,0.13517,0
0.434343,-0.0768247,0.124346,0
0.444444,-0.078132,0.113391,0
0.454545,-0.0794385,0.102288,0
0.464646,-0.0807388,0.0910285,0
0.474747,-0.0820282,0.0796086,0
0.484848,-0.0833025,0.0680321,0
0.494949,-0.0845588,0.0563078,0
0.505051,-0.0857944,0.0444485,0
0.515152,-0.0870073,0.0324701,0
0.525253,-0.088196,0.0203909,0
0.535354,-0.0893592,0.00823074,0
0.545455,-0.0904961,-0.00398987,0
0.555556,-0.0916055,-0.0162501,0
0.565657,-0.0926866,-0.0285291,0
0.575758,-0.0937384,-0.0408067,0
0.585859,-0.0947592,-0.0530631,0
0.59596,-0.0957476,-0.0652791,0
0.606061,-0.0967012,-0.0774363,0
0.616162,-0.0976173,-0.0895162,0
0.626263,-0.0984924,-0.101501,0
0.636364,-0.0993222,-0.113373,0
0.646465,-0.100102,-0.125113,0
0.656566,-0.100826,-0.136703,0
0.666667,-0.101491,-0.148124,0
0.676768,-0.102089,-0.159356,0
0.686869,-0.102617,-0.170381,0
0.69697,-0.103073,-0.181184,0
0.707071,-0.103459,-0.191751,0
0.717172,-0.103783,-0.202082,0
0.727273,-0.104058,-0.212186,0
0.737374,-0.104311,-0.222097,0
0.747475,-0.104581,-0.231877,0
0.757576,-0.104924,-0.241631,0
0.767677,-0.105414,-0.251518,0
0.777778,-0.106145,-0.261758,0
0.787879,-0.107227,-0.272645,0
0.79798,-0.108774,-0.28454,0
0.808081,-0.110897,-0.297851,0
0.818182,-0.113675,-0.313001,0
0.828283,-0.117126,-0.330348,0
0.838384,-0.121166,-0.350084,0
0.848485,-0.125576,-0.372102,0
0.858586,-0.129957,-0.395833,0
0.868687,-0.133724,-0.420088,0
0.878788,-0.136105,-0.442941,0
0.888889,-0.136215,-0.461705,0
0.89899,-0.133148,-0.47306,0
0.909091,-0.126171,-0.473411,0
0.919192,-0.114901,-0.459498,0
0.929293,-0.0995599,-0.429209,0
0.939394,-0.0810439,-0.382438,0
0.949495,-0.0609644,-0.321604,0
0.959596,-0.0413017,-0.251551,0
0.969697,-0.0241001,-0.178601,0
0.979798,-0.0109176,-0.109191,0
0.989899,-0.00277712,-0.0485547,0
1,-5.38914e-16,-9.58236e-15,0
