x,U_0,U_1,U_2
0,0,0,0
0.025,0.000271869,0.0950592,0
0.05,-0.00202465,0.156276,0
0.075,-0.00703735,0.195911,0
0.1,-0.0135681,0.224987,0
0.125,-0.0204556,0.249163,0
0.15,-0.027049,0.269223,0
0.175,-0.0329734,0.283394,0
0.2,-0.0380855,0.289852,0
0.225,-0.0422894,0.287586,0
0.25,-0.0456518,0.277046,0
0.275,-0.048318,0.259671,0
0.3,-0.0505264,0.237699,0
0.325,-0.0525341,0.213244,0
0.35,-0.0545259,0.18803,0
0.375,-0.0566588,0.162929,0
0.4,-0.0589332,0.13823,0
0.425,-0.0613956,0.113762,0
0.45,-0.0639321,0.089231,0
0.475,-0.0665822,0.0644234,0
0.5,-0.0692064,0.0391786,0
0.525,-0.071868,0.0135976,0
0.55,-0.0744516,-0.0123123,0
0.575,-0.0770551,-0.0382474,0
0.6,-0.0795564,-0.0642284,0
0.625,-0.0820132,-0.0898798,0
0.65,-0.0843193,-0.115283,0
0.675,-0.0864818,-0.140008,0
0.7,-0.0885107,-0.164265,0
0.725,-0.0905115,-0.187854,0
0.75,-0.0929509,-0.211791,0
0.775,-0.0963855,-0.237347,0
0.8,-0.101897,-0.267711,0
0.825,-0.109651,-0.305646,0
0.85,-0.118726,-0.352065,0
0.875,-0.124661,-0.399613,0
0.9,-0.120785,-0.428853,0
0.925,-0.0994113,-0.406327,0
0.95,-0.0587089,-0.300319,0
0.975,-0.0152344,-0.133463,0
1,0,0,0
