x,U_0,U_1,U_2
0,0,0,0
0.025,-0.000665815,0.0231645,0
0.05,-0.00228837,0.0379154,0
0.075,-0.00456002,0.0469972,0
0.1,-0.007259,0.0524593,0
0.125,-0.01022,0.0556991,0
0.15,-0.0133685,0.0577049,0
0.175,-0.0166541,0.0590567,0
0.2,-0.0200852,0.0601761,0
0.225,-0.0236857,0.0612407,0
0.25,-0.0275007,0.0624236,0
0.275,-0.0316116,0.0637442,0
0.3,-0.0360871,0.0652852,0
0.325,-0.0410736,0.0670209,0
0.35,-0.0466759,0.0689922,0
0.375,-0.0531339,0.0711688,0
0.4,-0.0606322,0.0735635,0
0.425,-0.0695741,0.0762031,0
0.45,-0.0803371,0.0791836,0
0.475,-0.0936474,0.0828109,0
0.5,-0.110223,0.0874027,0
0.525,-0.130925,0.0931397,0
0.55,-0.155825,0.0985816,0
0.575,-0.183872,0.100435,0
0.6,-0.2123,0.0937085,0
0.625,-0.23788,0.0748644,0
0.65,-0.25817,0.0437333,0
0.675,-0.272588,0.00392673,0
0.7,-0.281689,-0.040466,0
0.725,-0.286283,-0.0859644,0
0.75,-0.286899,-0.130443,0
0.775,-0.28325,-0.171845,0
0.8,-0.274123,-0.208206,0
0.825,-0.256805,-0.235841,0
0.85,-0.228052,-0.24906,0
0.875,-0.184986,-0.239695,0
0.9,-0.128958,-0.200738,0
0.925,-0.0687877,-0.134231,0
0.95,-0.0226712,-0.0615698,0
0.975,-0.00228678,-0.012391,0
1,0,0,0
