y,U_0,U_1,U_2
0,0,0,0
0.025,-0.0138655,7.34742e-05,0
0.05,-0.0237985,0.000244987,0
0.075,-0.030844,0.000465279,0
0.1,-0.0359275,0.000708391,0
0.125,-0.0397932,0.000972166,0
0.15,-0.0430247,0.00128882,0
0.175,-0.0460344,0.00169915,0
0.2,-0.0491359,0.00227775,0
0.225,-0.0525258,0.00309612,0
0.25,-0.0563659,0.004273,0
0.275,-0.0607355,0.0059219,0
0.3,-0.0657192,0.00823542,0
0.325,-0.0713173,0.0114062,0
0.35,-0.0775483,0.0157596,0
0.375,-0.0842926,0.021626,0
0.4,-0.0914075,0.0295181,0
0.425,-0.0984332,0.0398582,0
0.45,-0.104734,0.0530994,0
0.475,-0.109085,0.0691318,0
0.5,-0.110223,0.0874027,0
0.525,-0.106659,0.106413,0
0.55,-0.0979329,0.124439,0
0.575,-0.0841019,0.139648,0
0.6,-0.0664198,0.150939,0
0.625,-0.0462232,0.15746,0
0.65,-0.0254214,0.159185,0
0.675,-0.00540509,0.156271,0
0.7,0.0123959,0.149566,0
0.725,0.0274233,0.139859,0
0.75,0.0392466,0.128284,0
0.775,0.0481763,0.115569,0
0.8,0.0544255,0.10251,0
0.825,0.0586369,0.0893949,0
0.85,0.0614102,0.0765704,0
0.875,0.0649684,0.063989,0
0.9,0.0768971,0.0516174,0
0.925,0.12036,0.038807,0
0.95,0.245959,0.0246521,0
0.975,0.528103,0.00961718,0
1,1,0,0
